,EU Monitor,EU Monitor,EU Monitor,EU Monitor,EU Monitor,US Monitor,US Monitor,US Monitor,US Monitor,US Monitor
Service,#Ad Clusters,#Malicious clusters,% Impressions,#Adult clusters,% Impressions,#Ad Clusters,#Malicious clusters,% Impressions,#Adult clusters,%Impressions
adf.ly,76,3,4.61%,1,0.99%,139,0,0.00%,0,0.00%
linkbucks.com,43,1,89.10%,2,0.45%,51,3,90.10%,0,0.00%
adfoc.us,114,6,36.50%,0,0.00%,142,23,52.10%,0,0.00%
bc.vc,25,10,95.10%,0,0.00%,48,2,75.30%,0,0.00%
ysear.ch,117,0,0.00%,0,0.00%,135,0,0.00%,0,0.00%
coinurl.lcom,248,1,0.18%,0,0.00%,232,2,1.08%,0,0.00%
reducelnk.com,329,0,0.00%,2,34.20%,300,19,45.00%,4,15.80%
ssl.gs,1,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%
zpag.es,107,0,0.00%,2,3.50%,149,3,7.16%,0,0.00%
adcrun.ch,76,0,0.00%,0,0.00%,93,0,0.00%,0,0.00%
"Table 3: Advertising abuses discovered for each examined service, separated by the geographical location of our monitors ",,,,,,,,,,
