,,Ratio Cut,Normalized Cut,DSN,SDS
ACCURACY,AR,0.358,0.358,0.382,0.404
ACCURACY,FERET,0.249,0.255,0.279,0.28
ACCURACY,Yale,0.387,0.396,0.439,0.448
ACCURACY,ORL,0.653,0.625,0.605,0.663
ACCURACY,Carcinomas,0.724,0.695,0.69,0.718
ACCURACY,SRBCTML,0.434,0.434,0.41,0.446
ACCURACY,LEUML,0.903,0.903,0.542,0.917
,,Ratio Cut,Normalized Cut,DSN,SDS
NMI,AR,0.677,0.7,0.705,0.706
NMI,FERET,0.647,0.674,0.682,0.683
NMI,Yale,0.561,0.57,0.604,0.605
NMI,ORL,0.799,0.794,0.783,0.814
NMI,Carcinomas,0.719,0.697,0.707,0.712
NMI,SRBCTML,0.169,0.16,0.132,0.187
NMI,LEUML,0.547,0.547,0.079,0.585
Table 2: Experimental results comparison of clustering on benchmark datasets. ,,,,,
