,Google,Google,Google,Bing/Flickr,Bing/Flickr,Bing/Flickr
,Original,Voting,Regression,Original,Voting,Regression
MAP,0.5605,0.6318,0.5428,0.5187,0.6015,0.5438
NDCG,0.7943,0.8778,0.7989,0.7751,0.8619,0.8287
BPREF,0.6327,0.8086,0.8061,0.7118,0.7971,0.763
MAP,0.7271,0.7679,0.6615,0.6564,0.721,0.6258
NDCG,0.9151,0.9358,0.8703,0.8858,0.9174,0.8603
BPREF,0.7477,0.846,0.7933,0.7083,0.8259,0.7754
MAP,0.665,0.7259,0.6715,0.7292,0.8222,0.7782
NDCG,0.8453,0.8782,0.8394,0.8603,0.9041,0.885
BPREF,0.5726,0.8085,0.7449,0.6313,0.7892,0.7322
MAP,0.7637,0.8219,0.8287,0.8235,0.8284,0.8051
NDCG,0.9208,0.954,0.9567,0.954,0.9567,0.9494
BPREF,0.6054,0.7573,0.7691,0.6691,0.74,0.7102
Table 3: Evaluation measures for diversity-aware result rankings. ,,,,,,
