,K-Means,K-Means,Ratio Cut,Ratio Cut,Normalized Cut,Normalized Cut,NMF,CAN,PCAN
,%(min_obj),Average%,%(min_obj),Average%,%(min_obj),Average%,,,
Umist,42.61,43.31±2.66,66.09,60.44±3.81,62.26,59.51±3.50,62.26,77.57,68.17
Coil20,71.67,56.54±5.35,77.5,69.42±4.60,79.31,70.30±4.66,70.42,90.14,83.33
Jaffe50,91.55,73.70±8.56,96.71,84.78±8.39,96.71,81.63±8.89,96.71,96.71,100
USPS,65.21,64.27±3.08,69.2,67.59±5.11,69.53,68.43±5.10,67.37,78.96,63.81
Palm,72.4,68.43±2.86,65,61.35±1.84,63.5,60.97±2.01,61.4,84.85,88.85
MSRA50,57.14,53.50±5.00,52.47,49.28±2.67,52.47,47.90±3.53,50.69,57.87,57.87
Stock,66.74,74.02±11.73,57.68,55.23±4.03,57.68,55.39±5.06,56.21,67.79,77.16
Pathbased,74.33,74.34±0.03,77.67,77.67±0.00,77.67,77.67±0.00,78,87,87
Movements,48.33,44.04±2.27,48.33,46.01±2.29,45.56,44.49±1.90,43.33,49.17,49.17
Spiral,34.29,34.56±0.26,99.68,96.92±10.10,99.68,96.03±11.82,91.03,100,100
Wine,95.51,94.65±0.53,95.51,95.44±0.54,94.94,94.99±4.58,94.94,97.19,100
Compound,69.42,65.49±9.36,53.63,52.94±3.93,53.13,52.67±3.80,52.38,80.2,79.7
Yeast,40.5,38.00±2.13,41.44,38.11±2.18,40.03,36.99±2.81,35.65,50.27,50.07
Glass,43.46,45.57±3.51,37.85,38.28±2.27,37.85,38.26±3.00,37.85,50,49.53
Ecoli,62.5,57.10±6.07,59.23,54.08±5.30,57.44,53.10±4.22,54.17,83.04,83.33
Table 3: Clustering Accuracy on Real Datasets ,,,,,,,,,
