Data Set,LDA*(T-15) LDA*(T-30),LDA*(T-15) LDA*(T-30),LDA*(T-15) LDA*(T-30),LDA*(T-15) LDA*(T-30),LDA*(T-15) LDA*(T-30),LDA*(T-15) LDA*(T-30),LDA*(T-50),LDA*(T-50),LDA*(T-50),DS-LDA*(T-50),DS-LDA*(T-50),SS-LDA*(T-50),SS-LDA*(T-50),SS-LDA*(T-50),SS-LDA*(T-50)
Data Set,P@5,P@10,P@20,P@5,P@10,P@20,P@5,P@10,P@20,P@5,P@10,P@20,P@5,P@10,P@20
children,0.08,0.05,0.04,0.13,0.13,0.11,0.2,0.13,0.08,0.05,0.3,0.04,0.16,0.12,0.08
E-Cig vape,0.12,0.14,0.13,0.17,0.14,0.17,0.28,0.3,0.23,0.08,0.06,0.06,0.36,0.32,0.19
health,0.13,0.13,0.12,0.17,0.12,0.06,0.32,0.23,0.16,0.14,0.11,0.11,0.13,0.15,0.8
box,0.3,0.25,0.2,0.2,0.24,0.2,0.43,0.26,0.16,0.08,0.06,0.08,0.33,0.29,0.18
Cigar event,0.16,0.08,0.12,0.24,0.2,0.18,0.19,0.18,0.14,0.12,0.08,0.05,0.8,0.6,0.7
horse,0.05,0.1,0.11,0.25,0.18,0.24,0.5,0.42,0.31,0.05,0.04,0.03,0.5,0.28,0.16
screen,0.08,0.06,0.08,0.08,0.06,0.06,0.08,0.05,0.06,0.23,0.2,0.14,0.15,0.11,0.06
Camera lens,0.13,0.1,0.08,0.18,0.16,0.12,0.12,0.11,0.1,0.17,0.13,0.11,0.27,0.16,0.11
weight,0.08,0.08,0.08,0.16,0.14,0.1,0.12,0.1,0.07,0.04,0.04,0.03,0.13,0.1,0.13
sound,0.2,0.15,0.13,0.47,0.37,0.27,0.63,0.45,0.28,0.17,0.12,0.1,0.3,0.2,0.15
Cell-Phone case,0.38,0.35,0.31,0.55,0.51,0.36,0.39,0.37,0.3,0.13,0.11,0.21,0.2,0.2,0.18
battery,0.16,0.12,0.08,0.32,0.22,0.16,0.32,0.2,0.16,0.16,0.08,0.06,0.12,0.12,0.11
monitor,0.59,0.56,0.4,0.61,0.51,0.38,0.61,0.46,0.38,0.2,0.1,0.09,0.31,0.24,0.18
Computer software,0.32,0.24,0.19,0.12,0.11,0.09,0.18,0.15,0.11,0.08,0.04,0.04,0.16,0.12,0.1
warranty,0.1,0.08,0.05,0.3,0.23,0.18,0.33,0.3,0.2,0.07,0.03,0.03,0.23,0.18,0.11
average score,0.19,0.17,0.14,0.26,0.22,0.18,0.31,0.25,0.18,0.12,0.1,0.08,0.28,0.21,0.22
Table 4: Precisions of setting two. The last two rows are (a) the average scores of all targeted aspects of all topics and (b) the improvement achieved by TTM over other models respectively. ,,,,,,,,,,,,,,,
