,Dataset Information,Dataset Information,Parameter Values (LTS),Parameter Values (LTS),Parameter Values (LTS),Parameter Values (LTS),Parameter Values (LTS),Parameter Values (LTS),Run-Time (Best Shap.),Run-Time (Best Shap.)
Dataset,Train/Test,Length,Cls.,minK,L,R,¦ËW,maxIter,F-Stat (Sec,LTS (Sec
Adiac,390/391,176,37,0.3,0.2,3,0.01,10000,4509.91,3017.23
Beef,30/30,470,5,0.15,0.125,3,0.01,10000,1251.21,293.68
Beetle/Fly,20/20,512,2,0.15,0.125,1,0.01,5000,21496.51,131.015
Bird/Chicken,20/20,512,2,0.3,0.075,1,0.1,10000,20465.63,81.405
Chlorine.,467/3840,166,3,0.3,0.2,3,0.01,10000,15681.39,558.51
Coffee,28/28,286,2,0.05,0.075,2,0.01,5000,258.15,90.96
Diatom.,16/306,345,4,0.3,0.175,2,0.01,10000,53.91,173.1
DP_Little,400/645,250,3,0.15,0.175,1,1,5000,78005.7,1525.595
DP_Middle,400/645,250,3,0.3,0.025,3,1,10000,91208.52,910.33
DP_Thumb,400/645,250,3,0.05,0.175,3,0.1,5000,123766.49,963.765
ECGFiveDays,23/861,136,2,0.05,0.125,2,0.01,5000,149.1,29.365
FaceFour,24/88,350,4,0.3,0.175,3,1,5000,4556.41,386.45
GunPoint,50/150,150,2,0.15,0.2,3,0.1,10000,569.42,46.69
ItalyPower.,67/1029,24,2,0.3,0.2,3,0.01,5000,1.75,10.285
Lighting7,70/73,319,7,0.05,0.075,3,1,5000,14912.74,394.44
MedicalImages,381/760,99,10,0.3,0.2,2,1,10000,7742.97,406.725
MoteStrain,20/1252,84,2,0.3,0.2,3,1,10000,10.76,16.875
MP_Little,400/645,250,3,0.3,0.2,3,0.01,5000,88071.5,965.27
MP_Middle,400/645,250,3,0.05,0.2,2,0.01,5000,134731.54,940.555
Otoliths,64/64,512,2,0.15,0.125,3,0.01,2000,55874.19,407.835
PP_Little,400/645,250,3,0.15,0.125,3,1,10000,79993.31,890.925
PP_Middle,400/645,250,3,0.15,0.175,2,0.01,10000,57815.02,1574.805
PP_Thumb,400/645,250,3,0.3,0.175,2,0.1,10000,91401.49,1449.36
SonyAIBO.,20/601,70,2,0.3,0.125,2,0.01,10000,6.73,11.415
Symbols,25/995,398,6,0.05,0.175,1,0.1,5000,8901.28,308.99
SyntheticControl,300/300,60,6,0.15,0.125,3,0.01,5000,984.36,219.97
Trace,100/100,275,4,0.15,0.125,2,0.1,10000,54128.53,275.375
TwoLeadECG,23/1139,82,2,0.3,0.075,1,0.1,10000,3.12,15.415
"Table 1: Dataset Information, Parameter Search Results and Running Time for The Best Shapelet [8] ",,,,,,,,,,
