,Impressions (M),Impressions (M),Clicks (K),Clicks (K),CTR (%),CTR (%),eCPC ($/click),eCPC ($/click)
Camp.,bias,kmmp,bias,kmmp,bias,kmmp,bias,kmmp
C1,1.07,0.89,0.62,0.67,0.06,0.08,4.54,4.16
C2,7.73,6.02,0.94,1.19,0.01,0.02,7.49,5.89
C3,22.18,16.96,27.18,30.06,0.12,0.18,0.26,0.23
C4,0.37,0.12,0.61,0.61,0.16,0.49,2.46,2.48
C5,9.57,7.51,6.42,6.93,0.07,0.09,0.45,0.42
C6,0.32,0.22,0.46,0.46,0.14,0.21,2.17,2.18
C7,10.13,7.31,2.99,3.28,0.03,0.04,0.37,0.34
C8,1.04,0.52,1.04,1.13,0.1,0.22,1.92,1.78
C9,13.67,11.46,5.12,5.71,0.04,0.05,1.76,1.58
all,66.07,51.01,45.37,50.03,0.07,0.1,0.76,0.69
Table 9: Online A/B testing of bid optimisation (Yahoo!). ,,,,,,,,
