,Regular days,Regular days,Regular days,Regular days,Festivities,Festivities,Festivities,Festivities
Day,funPSF,7-funPSF,ANN,ARIMA,funPSF,7-funPSF,ANN,ARIMA
Monday,12.25%,5.28%,19.30%,25.61%,10.51%,5.60%,20.18%,24.33%
Tuesday,6.53%,5.24%,13.10%,7.09%,32.55%,44.95%,46.51%,44.83%
Wednesday,6.28%,5.27%,8.00%,20.27%,15.32%,20.47%,23.24%,34.97%
Thursday,6.93%,5.74%,13.55%,18.16%,13.65%,14.08%,28.26%,20.71%
Friday,6.91%,6.01%,11.02%,14.32%,6.98%,9.44%,11.88%,24.93%
Saturday,6.27%,5.82%,9.34%,15.72%,4.00%,3.56%,18.84%,13.31%
Sunday,9.97%,5.06%,14.26%,10.75%,8.64%,3.98%,20.87%,17.29%
Average,7.88%,5.49%,12.65%,15.99%,13.09%,14.58%,24.25%,25.77%
Table 8: MAPE summary for type of the day. ,,,,,,,,
