,1X concat,1X concat,2X concat,2X concat,2X concat,3X concat,3X concat,3X concat,4X concat,4X concat,4X concat,5X concat,5X concat,5X concat,5X concat
model,R-1,R-2,R-L,R-1,R-2,R-L,R-1,R-2,R-L,R-1,R-2,R-L,R-1,R-2,R-L
Lead,32,13.6,29.9,22.9,9.8,21.8,19.4,7.8,18.6,17.3,6.6,16.7,16.4,5.9,15.9
Leadmulti,32,13.6,29.9,25.2,9.6,23.7,24.2,8.2,22.7,23.4,7.3,22.1,23.7,7,22.4
Luhn,25.1,9.7,23.3,24,9.3,22.4,24.1,9.1,22.6,24.2,8.9,22.8,24.7,8.9,23.3
SumBasic,25.5,7.8,23.8,25.7,7.7,24.1,26.4,7.4,24.8,26.6,7.1,25.1,27,6.8,25.6
LSA,23.2,8,21.4,22.6,7.5,21,23.1,7.3,21.5,23.2,7.1,21.7,23.9,7.1,22.5
TextRank,25.1,9.5,23.2,22.3,8.5,20.8,22,8.1,20.6,21.9,7.8,20.6,22.5,7.8,21.2
LexRank,26.4,9.5,24.4,25.8,8.8,23.9,26.2,8.5,24.4,26.5,8.4,24.7,26.9,8.2,25.2
KLSum,22.7,8.1,20.9,20.1,7.3,18.7,19.8,6.9,18.5,19.6,6.7,18.4,20,6.7,18.9
LeadR,28.2,11.3,26.3,26.7,10.6,25.1,26.9,10.2,25.3,26.9,9.9,25.4,27.5,9.9,26.1
LeadRλ=1,28.2,11.3,26.3,26.1,10.4,24.6,26.2,10,24.7,26.2,9.8,24.9,26.8,9.8,25.4
LeadRλ=0,28.2,11.3,26.3,25,9.3,23.6,24,8.1,22.5,23,7.4,21.7,23.1,7.1,21.9
LeadRavд,27.1,10.7,25.2,24.7,9.7,23.2,24.8,9.1,23.3,24.8,9,23.4,25.3,8.8,23.9
"Table 3: Performance of the various models on the multi-section CNN/Daily Mail test set. For all but the 1X task where Lead is best, LeadR consistently outperforms the baselines on ROUGE-1, ROUGE-2 and ROUGE-L. ",,,,,,,,,,,,,,,
