Country,Quality Score,Quality Score,Quality Score,Precision,Precision,Precision,Recall,Recall,Recall
,Oct,Nov,Dec,Oct,Nov,Dec,Oct,Nov,Dec
Argentina,-,3.24,3.21,-,0.85,0.94,-,0.53,0.49
Brazil,-,3.53,3.58,-,0.27,0.21,-,1,0.99
Chile,3.24,3.19,3.35,0.53,0.9,0.87,0.84,0.81,1
Colombia,3.17,3.24,2.71,0.95,0.97,0.94,0.81,0.63,0.92
Ecuador,3.09,3.2,3.2,0.6,1,0.86,1,0.84,1
El Salvador,3.33,3.09,3.1,1,0.89,0.8,0.91,1,1
Mexico,3.13,3.36,3.16,0.92,0.73,0.93,0.95,0.83,0.86
Paraguay,3.6,3.42,3.39,0.74,0.82,0.78,1,1,1
Uruguay,3.17,3.07,3.12,0.53,0.77,1,1,0.85,0.73
Venezuela,-,3.48,3.39,-,1,0.86,-,0.59,0.93
Table 6: Quality and Coverage Evaluation for AutoGSR vs Manual GSR*. ,,,,,,,,,
