Dataset,D1,D2,D3,D4,Average
NMF,0.857,0.866,0.851,0.878,0.863
timeSVD++,0.782,0.813,0.795,0.826,0.804
Tensor,0.912,0.937,0.916,0.951,0.929
EFM,0.733,0.768,0.742,0.769,0.753
FTSA,0.706,0.729,0.711,0.726,0.718
FTSA',0.716,0.732,0.722,0.735,0.726
#Users,"122,476","146,099","159,747","167,370","148,923"
NMF,0.154,0.136,0.163,0.147,0.15
timeSVD++,0.228,0.241,0.236,0.233,0.235
Tensor,0.207,0.192,0.196,0.211,0.202
EFM,0.186,0.194,0.208,0.195,0.196
FTSA,0.254,0.267,0.258,0.271,0.263
"Table 7: The best RMSE achieved on four datasets and their averaged value for each method, standard deviations ¡Ü 0.015 for each experimental run. ",,,,,
