Method,D to G,G to D,Aa to Ab,Ab to Aa,Ea to Eb,Eb to Ea,Ea to Ec,Ec to Ea,Eb to Ec,Ec to Eb
CN,0.0155,0.6011,0.3017,0.1348,0.3598,0.2319,0.3817,0.2079,0.3145,0.2654
AA,0.0167,0.5912,0.3344,0.1596,0.4541,0.28,0.4838,0.2562,0.3802,0.318
JC,0.0803,0.4812,0.0835,0.0903,0.3848,0.3082,0.414,0.3429,0.3628,0.3579
PA,0.0083,0.7566,0.082,0.0599,0.1446,0.1287,0.1525,0.125,0.156,0.1471
PF,0.0233,0.5501,0.1455,0.0989,0.3504,0.2248,0.3722,0.2138,0.2833,0.2446
IT,0.0155,0.6011,0.3715,0.2059,0.4344,0.3157,0.4568,0.294,0.4008,0.3559
LRC-IT,0.014,0.783,0.361,0.188,0.458,0.314,0.524,0.287,0.423,0.35
LRC,0.019,0.793,0.382,0.203,0.492,0.316,0.519,0.291,0.427,0.359
DT-IT,0.007,0.627,0.276,0.105,0.344,0.162,0.381,0.155,0.29,0.226
DT,0.008,0.631,0.253,0.103,0.358,0.164,0.347,0.1557,0.306,0.242
CoupledLP-IT,0.0303,0.8249,0.4291,0.2483,0.5088,0.3484,0.5257,0.324,0.4537,0.3855
CoupledLP,0.0249,0.8432,0.4305,0.2776,0.5481,0.3591,0.542,0.3399,0.4692,0.4133
CN,0.6384,0.533,0.6754,0.5896,0.609,0.5556,0.6133,0.5418,0.5736,0.5552
AA,0.6544,0.5289,0.7658,0.6933,0.7408,0.6664,0.7486,0.6357,0.6826,0.6543
JC,0.6507,0.3666,0.5974,0.522,0.7186,0.6116,0.728,0.5977,0.6652,0.6327
PA,0.485,0.7073,0.5802,0.5615,0.3835,0.446,0.3746,0.4462,0.4131,0.427
PF,0.6426,0.489,0.7275,0.7006,0.7339,0.6649,0.7389,0.6554,0.6736,0.5552
IT,0.6384,0.533,0.7735,0.7273,0.6867,0.6435,0.6969,0.6335,0.6756,0.6618
LRC-IT,0.545,0.716,0.759,0.728,0.758,0.693,0.775,0.684,0.72,0.689
LRC,0.623,0.732,0.821,0.775,0.767,0.707,0.773,0.695,0.729,0.703
DT-IT,0.501,0.583,0.719,0.626,0.669,0.548,0.693,0.541,0.634,0.592
DT,0.514,0.593,0.746,0.653,0.675,0.551,0.673,0.544,0.645,0.604
CoupledLP-IT,0.6825,0.7586,0.8052,0.7424,0.7597,0.7017,0.7664,0.6885,0.7314,0.7004
CoupledLP,0.679,0.7865,0.8336,0.7807,0.7779,0.7127,0.7769,0.7016,0.7405,0.7157
Table 4: The performance of AUPR on different methods. ,,,,,,,,,,
