,F1,F1,F1,F1,F1,AUC,AUC,AUC,AUC,AUC
Network,HITS,DiffQue,RCM,Trueskill,PageRank,HITS,DiffQue,PageRank,HITS,DiffQue
RCM,55.6,54,62.8,52.8,33.3,55.7,54.1,62.8,52.9,48.1
SO1 Trueskill,55.6,54,62.8,52.8,33.3,55.7,54.1,62.8,52.9,48.1
PageRank,42.2,56.1,50.3,53.5,38.1,42.3,56.2,50.5,53.5,50.5
DiffQue,56.5,66.6,62.1,49.4,71.6,56.6,66.9,62.4,49.4,71.7
RCM,57.6,52.8,51.5,49.2,32.4,57.3,52.9,51.6,49.3,50
SO2 Trueskill,57.6,52.8,51.5,49.2,32.4,57.6,52.9,51.6,49.3,50.1
PageRank,46.9,49.3,49.3,49.6,34.2,47,49.4,49.4,49.6,48.7
DiffQue,56.9,56.1,57.2,54.6,70.5,56.9,56.2,57.3,54.6,70.5
RCM,50.7,52.2,54.6,48.8,36.9,50.7,53.2,55.4,50.1,50
SO3 Trueskill,50.7,52.2,54.6,48.8,36.9,50.7,53.2,55.4,50.1,50
PageRank,51.7,51.1,50.3,44.9,36.9,52.2,51.4,51,46,50
DiffQue,54.1,60.7,58.9,49.3,76.3,54.7,62.2,60.7,50.8,77.1
RCM,55.3,58.6,55.9,52.6,32.1,55.3,58.6,55.9,52.6,48.7
MSE Trueskill,55.3,58.6,55.9,52.6,32.2,55.3,58.6,55.9,52.6,48.7
PageRank,49.3,51.7,53.6,56.2,34.6,49.4,51.8,53.6,56.2,49.1
DiffQue,55.6,54.8,61.6,58.9,71.8,55.7,54.8,61.6,59,72.3
Table 6: Accuracy (in terms of F1 and AUC) of the competing methods on four di erent datasets. DiffQue is run with its default con guration. Boldface numbers are the accuracy of the baseline methods using the con guration reported in the original papers. Blue (red) numbers are the accuracies of the best performing (second-ranked) method. We also measure the accuracy of each competing method using the network suggested by other methods and notice that most of the methods perform better if DiffQue¡¯s network is fed into their models (which indeed shows the superiority of our network construction mechanism). ,,,,,,,,,,
