Query,SVMRank,SVMRank,SVMRank,VisualRank,VisualRank,VisualRank,SocialRank,SocialRank,SocialRank
Query,COT,TF,TF-IDF,COT,TF,TF-IDF,COT,TF,TF-IDF
balloon,0.4896,0.7674,0.8676,0.8694,0.8606,0.8691,0.9593,0.9607,0.9605
bird,0.4621,0.6896,0.9031,0.9032,0.8744,0.8908,0.9847,0.9922,0.99
box,0.7314,0.8905,0.9313,0.9276,0.9072,0.9062,0.9945,0.9944,0.9954
car,0.4679,0.6113,0.8382,0.8671,0.8609,0.8673,0.9872,0.9206,0.9155
cat,0.439,0.5157,0.6226,0.6237,0.6517,0.6437,0.9854,0.9805,0.9818
child,0.7037,0.6723,0.8766,0.8739,0.8849,0.8754,0.9404,0.9405,0.9384
flower,0.6123,0.6997,0.7637,0.8046,0.7301,0.7546,0.9633,0.8119,0.9909
guitar,0.6048,0.738,0.8021,0.8119,0.8047,0.8197,0.8328,0.8409,0.8333
pumpkin,0.7269,0.7416,0.7701,0.8027,0.7816,0.7816,0.7748,0.7748,0.7748
waterfall,0.8,0.8321,0.8405,0.9389,0.9384,0.9401,0.972,0.9707,0.9719
average,0.6037,0.7158,0.8215,0.8423,0.8294,0.8348,0.9394,0.9187,0.9352
Table 1: Image ranking performance (AP@100) on the Flickrgroup dataset. The one with best performance for each query is indicated by an oval box. ,,,,,,,,,
