Metric,Algorithm,Training10%,Training20%,Training30%,Training40%,Training50%,Training60%,Training70%,Training80%,Training90%
Micro-F1,GF,79.63,80.51,80.94,81.18,81.38,81.54,81.63,81.71,81.78
Micro-F1,DeepWalk,78.89,79.92,80.41,80.69,80.92,81.08,81.21,81.35,81.42
Micro-F1,SkipGram,79.84,80.82,81.28,81.57,81.71,81.87,81.98,82.05,82.09
Micro-F1,LINE-SGD(1st),76.03,77.05,77.57,77.85,78.08,78.25,78.39,78.44,78.49
Micro-F1,LINE-SGD(2nd),74.68,76.53,77.54,78.18,78.63,78.96,79.19,79.4,79.57
Micro-F1,LINE(1st),79.67,80.55,80.94,81.24,81.4,81.52,81.61,81.69,81.67
Micro-F1,LINE(2nd),79.93,80.9,81.31,81.63,81.8,81.91,82,82.11,82.17
Micro-F1,LINE(1st+2nd),81.04**,82.08**,82.58**,82.93**,83.16**,83.37**,83.52**,83.63**,83.74**
Macro-F1,GF,79.49,80.39,80.82,81.08,81.26,81.4,81.52,81.61,81.68
Macro-F1,DeepWalk,78.78,79.78,80.3,80.56,80.82,80.97,81.11,81.24,81.32
Macro-F1,SkipGram,79.74,80.71,81.15,81.46,81.63,81.78,81.88,81.98,82.01
Macro-F1,LINE-SGD(1st),75.85,76.9,77.4,77.71,77.94,78.12,78.24,78.29,78.36
Macro-F1,LINE-SGD(2nd),74.7,76.45,77.43,78.09,78.53,78.83,79.08,79.29,79.46
Macro-F1,LINE(1st),79.54,80.44,80.82,81.13,81.29,81.43,81.51,81.6,81.59
Macro-F1,LINE(2nd),79.82,80.81,81.22,81.52,81.71,81.82,81.92,82,82.07
Table 3: Results of Wikipedia page classification on Wikipedia data set. ,,,,,,,,,,
