Structure Type,Self-Gated,Encoder-Gated,Label-Gated,Copy Connection,AAE-Based
actinin,86701 ± 191,86498 ± 208,86565 ± 204,86696 ± 193,85761 ± 220
tubulin,87467 ± 108,87466 ± 108,87096 ± 95,87103 ± 99,86578 ± 98
actin,86985 ± 108,87024 ± 111,87020 ± 105,86854 ± 101,86598 ± 114
Desmoplakin,85633 ± 221,85964 ± 255,85737 ± 272,86249 ± 231,86440 ± 233
Fibrillarin,85041 ± 334,85067 ± 319,85133 ± 325,85369 ± 308,86004 ± 280
LaminB1,86460 ± 182,86408 ± 186,86423 ± 187,86337 ± 184,85820 ± 187
Myosin IIB,85883 ± 236,85256 ± 288,85743 ± 257,85676 ± 264,84854 ± 283
Sec61,86483 ± 104,86401 ± 110,86283 ± 114,86301 ± 112,85515 ± 118
Tom20,86832 ± 162,86939 ± 160,86754 ± 156,86923 ± 149,85905 ± 174
ZO1,85857 ± 316,84905 ± 315,85062 ± 304,85370 ± 292,85068 ± 297
Table 2: Parzen window log-likelihood estimates for di erent types of proteins. ,,,,,
