,Ciao,Ciao,Ciao,Ciao,Flixster,Flixster,Flixster,Flixster,Filmtrust,Filmtrust,Filmtrust,Avg.,Avg.,,,,,,
Methods,Item,C1,Item,C2,Item,C3,Item,X1,Item,X2,Item,X3,Item,T1,Item,T2,Item,T3,Rank
Random,273.9,-5,185.5,-5,181.6,-5,121.4,-4,98.9,-4,-230.1,-4,315.3,-3,287.1,-3,69,-3,-4
IM,583.4,-4,372,-4,355.6,-4,28,-5,18.7,-5,-51.4,-3,130.5,-5,120.7,-5,28.3,-5,-4.4
OM,595.6,-3,389.4,-3,378.4,-3,66.2,-3,56.9,-3,15.5,-2,137.7,-4,126.5,-4,36.9,-4,-3.2
ICIM,643.2,-2,412.6,-2,394.4,-2,,,162.3,-2,-345.1,-5,321.9,-2,294.7,-2,72.3,-2,-2.3
ICOM,655.8,-1,429.4,-1,416.3,-1,229.2,-1,182.5,-1,20.6,-1,328.8,-1,364.2,-1,93,-1,-1
Random,76.8,-5,51.5,-5,48.3,-5,163.9,-4,132,-4,-276.9,-4,261,-3,238.5,-3,58.7,-3,-4
IM,255.5,-4,170.2,-4,164.5,-4,5.9,-5,4.3,-5,-6.7,-3,171.1,-5,157.1,-5,37.2,-5,-4.4
OM,287.2,-3,299,-3,248.8,-3,185.6,-3,157.7,-3,15.7,-2,178.1,-4,164.1,-4,46,-4,-3.2
ICIM,542.8,-2,369.2,-2,353.8,-2,211.8,-2,162.9,-2,-348.8,-5,398.1,-2,364.4,-2,89.6,-2,-2.3
ICOM,553.2,-1,378.5,-1,364.2,-1,226.6,-1,179.7,-1,20.4,-1,402.4,-1,368.9,-1,96.3,-1,-1
Random,75.1,-5,48,-5,46,-5,140.1,-3,112.9,-4,-343.5,-5,261,-3,238.3,-3,58.7,-3,-4
IM,347.2,-3,125.5,-4,154.8,-4,20.9,-4,10,-5,-354.4,-3,171,-5,158.1,-5,37.4,-5,-4.2
OM,254.8,-4,174.8,-3,169,-3,3.1,-5,50.6,-3,3.3,-2,174.6,-4,160.1,-4,41.5,-4,-3.6
ICIM,565.2,-2,370.8,-2,353.2,-2,207.5,-2,160.7,-2,-354.4,-3,395,-2,362.7,-2,88.4,-2,-2.1
ICOM,558.5,-1,380.2,-1,358.2,-1,226.1,-1,184.9,-1,12.9,-1,402.4,-1,368.9,-1,96.3,-1,-1
Random,87.5,-4,64.1,-3,58.2,-4,84.8,-2,55.7,-3,-124.7,-4,230.1,-1,210,-2,49.7,-2,-2.8
IM,92.2,-3,37.2,-5,38.2,-5,-1.6,-5,-1.6,-5,-0.8,-3,1.4,-5,2.3,-5,-0.3,-5,-4.6
OM,78.2,-5,55.8,-4,60.2,-3,5.6,-4,10.1,-4,15.7,-2,8.6,-4,8.3,-4,8.3,-4,-3.8
ICIM,299.1,-2,193.4,-2,188,-2,101,-1,83.8,-1,-172.8,-5,24.6,-3,21.4,-3,8.5,-3,-2.4
ICOM,314.8,-1,215.6,-1,210.2,-1,76.5,-3,63.2,-2,20.6,-1,31.8,-2,286.7,-1,81.9,-1,-1.4
Random,73.6,-5,49.2,-3,62.4,-3,90.7,-2,42.3,-3,-264.7,-3,228.5,-1,145.4,-1,53.2,-1,-2.4
IM,83.2,-4,35.5,-5,26.8,-5,-4.6,-5,-5.1,-5,-356.7,-5,1.4,-5,2.1,-5,-0.7,-5,-4.9
OM,94.5,-3,40.8,-4,53.2,-4,4.2,-4,3.9,-4,14.7,-1,8.6,-4,8.1,-4,7.9,-3,-3.4
ICIM,302.4,-2,178.4,-2,192.6,-2,105,-1,75.4,-1,-353.6,-4,162.3,-2,22.7,-3,4.4,-4,-2.3
ICOM,310.3,-1,208.4,-1,198.3,-1,83.6,-3,70.9,-2,14.3,-2,100.7,-3,26.7,-2,19.4,-2,-1.9
"Table 4: Results of different models as second movers. The budget of seed set k = 10, and the maximum inference round r = 5. The results are reported as ¡°average opinions + (rank)"". ",,,,,,,,,,,,,,,,,,,
