Noise Reduction Method,Wiki,Wiki,Wiki,OntoNotes,OntoNotes,OntoNotes,BBN,BBN,BBN
Noise Reduction Method,Acc,Ma-F1,Mi-F1,Acc,Ma-F1,Mi-F1,Acc,Ma-F1,Mi-F1
PL-SVM [20],0.428,0.613,0.571,0.465,0.648,0.582,0.497,0.679,0.677
CLPL [2],0.162,0.431,0.411,0.438,0.603,0.536,0.486,0.561,0.582
Raw,0.288,0.528,0.506,0.249,0.497,0.446,0.523,0.576,0.587
Min [7],0.325,0.566,0.536,0.295,0.523,0.47,0.524,0.582,0.595
All [7],0.417,0.591,0.545,0.305,0.552,0.495,0.495,0.563,0.568
WSABIE-Min [34],0.199,0.462,0.459,0.4,0.565,0.521,0.524,0.61,0.621
PTE-Min [28],0.238,0.542,0.522,0.452,0.626,0.572,0.545,0.639,0.65
PLE-NoCo,0.517,0.672,0.634,0.496,0.658,0.603,0.65,0.709,0.703
PLE,0.543,0.695,0.681,0.546,0.692,0.625,0.692,0.731,0.732
Raw,0.474,0.692,0.655,0.369,0.578,0.516,0.467,0.672,0.612
Min,0.453,0.691,0.631,0.373,0.57,0.509,0.444,0.671,0.613
All,0.453,0.648,0.582,0.4,0.618,0.548,0.461,0.636,0.583
WSABIE-Min,0.455,0.646,0.601,0.425,0.603,0.546,0.481,0.671,0.618
PTE-Min,0.476,0.67,0.635,0.494,0.675,0.618,0.513,0.674,0.657
PLE-NoCo,0.543,0.726,0.705,0.547,0.699,0.639,0.643,0.753,0.721
PLE,0.599,0.763,0.749,0.572,0.715,0.661,0.685,0.777,0.75
Table 9: Study of performance improvement on fine-grained typing systems FIGER [14] and HYENA [35] on the three datasets. ,,,,,,,,,
