Model Description,Camera,Camera,Camera,DVD Player,DVD Player,DVD Player,MP3,MP3,MP3
Knowledge Group Models,Mac.,Neg.,Pos.,Mac.,Neg.,Pos.,Mac.,Neg.,Pos.
AE-LSTM LSTMs,72.98,57.89,88.06,78.75,80.3,77.19,82.53,78.26,86.8
ATAE-LSTM,73.94,60,87.88,78.79,80,77.59,82.63,79.46,85.8
MN,66.22,47.37,85.07,84.55,84.55,84.55,80.63,75.96,85.29
No-Knowledge MNL,56.96,32.43,81.48,83.74,83.61,83.87,81.31,77.42,85.2
MNs MNA,56.09,31.58,80.6,84.55,84.55,84.55,81.46,76.38,86.53
AMN,72.98,57.89,88.06,81.22,82.44,80,82.39,77.83,86.96
AMNM,73.94,60,87.88,83.69,84.62,82.76,82.46,78.05,86.88
RKMN,75.13,61.54,88.72,81.22,82.44,80,79.85,75,84.71
KDMN,70.73,54.05,87.41,83.69,84.62,82.76,74.13,66.67,81.59
NLKs LexMN,74.17,59.46,88.89,84.55,84.55,84.55,82.32,77.61,87.03
UKMN Knowledge,75.13,61.54,88.72,83.73,84.13,83.33,85.33,81.9,88.76
UDKMN,77.2,65,89.39,82.93,82.93,82.93,85.64,82.13,89.15
ASA,75.13,61.54,88.72,85.36,85.25,85.48,85.79,83.26,88.69
LMNs CSE,79.84,69.77,89.92,87.79,87.39,88.19,87.77,85.19,90.36
JOINT,82.19,73.91,90.48,88.62,88.71,88.52,87.37,84.65,90.09
Table 2: Binary classi cation results on all three datasets of Gold Data. ,,,,,,,,,
