EXP,1A,1B,1C,2A,2B,2C,3A,3B,3C
DG-PG,0.75,0.5,0.67,1.13,0.87,1.33,2.69,1,1.17
DG-Dir,0.69,0.12,0.83,1.06,0.25,0.25,2.31,0.37,1
Proj,2.25,0.37,0.92,1.12,1,1.92,5.75,2.38,4.17
ScProj,2.5,0.75,1.67,1.31,0.5,1.08,4.62,1,2.75
AffProj,7.69,2,4.67,3.44,1,3.25,7.25,3.37,6
AffScProj,9.5,4.62,6.5,5.5,3.75,5.5,9.75,5.12,8.5
BC,6.25,3.5,4.83,5.5,2.88,3.92,9.88,4,6.33
PML,4.56,2.12,2.67,1.44,0.62,1.83,4.69,3.37,3.92
GDA,9.44,4.13,7,3.81,1.75,2.42,15.25,7.25,11.42
GGDA,6.44,4.87,5.67,1.75,0.5,2.17,12,6.5,10.75
EXP,1A,1B,1C,2A,2B,2C,3A,3B,3C
DG-PG,11.25,8.25,9.08,4.62,1.62,2.5,7.06,3.87,4.92
DG-Dir,12.56,7.38,9.92,5.31,1.88,3.08,10.12,4.38,5.83
Proj,12.06,9.75,9.58,7.44,3,4,12.13,6.62,9.33
ScProj,12.94,7.5,12.33,6.94,2.37,5.67,17.25,8,12.83
AffProj,16.31,9.25,10.33,7.5,3.12,6.33,14.56,7.5,9.92
AffScProj,18.81,12.88,14.25,21,8.62,15.33,32.63,19.5,26.25
BC,19.19,13.88,18.17,15.31,10.62,15.25,23.38,16.12,20.42
PML,13.62,10.25,11,6.19,3.38,4.25,14.56,8,13
GDA,13.94,10.38,10.5,8.06,2.5,4.42,21.12,11.12,15.58
GGDA,12.25,9.12,10.92,5.94,2.25,4.08,17.69,10,13.67
Table 4: Classi cation error rates on KARD data set.  Table 5: Classi cation error rates on KARD data set with appended noise activities.,,,,,,,,,
