,new MSNBC,new MSNBC,new AQUAINT,new AQUAINT,new ACE2004,new ACE2004
Systems,F1@MI,F1@MA,F1@MI,F1@MA,F1@MI,F1@MA
LocalMention,73.64,77.71,87.33,86.8,84.75,85.7
Cucerzan,88.34,87.76,78.67,78.22,79.3,78.22
M & W,78.43,80.37,85.13,84.84,81.29,84.25
Han_11,88.46,87.93,79.46,78.8,73.48,66.8
AIDA,78.81,76.26,56.47,56.46,80.49,84.13
GLOW,75.37,77.33,83.14,82.97,81.91,83.18
RI_13,90.22,90.87,87.72,87.74,86.6,87.13
REL-RW_14,91.37,91.73,90.74,90.58,87.68,89.23
PBoH,91.06,91.19,89.27,88.94,88.71,88.46
"Table 4: Results on the newer versions of the MSNBC, AQUAINT and ACE04 datasets. ",,,,,,
