Dataset,SVM,MDO,MAMC,KM-OMD,LDM
promoters,0.723¡À0.071,0.713¡À0.067,0.520¡À0.096_,0.736¡À0.061,0.721¡À0.069
planning-relax,0.683¡À0.031,0.605¡À0.185_,0.706¡À0.034_,0.479¡À0.050_,0.706¡À0.034_
colic,0.814¡À0.035,0.781¡À0.154,0.661¡À0.062_,0.813¡À0.028,0.832¡À0.026_
parkinsons,0.846¡À0.038,0.732¡À0.270_,0.764¡À0.035_,0.814¡À0.024_,0.865¡À0.030_
colic.ORIG,0.618¡À0.027,0.624¡À0.040,0.623¡À0.027,0.635¡À0.045_,0.619¡À0.042
sonar,0.725¡À0.039,0.734¡À0.035,0.533¡À0.045_,0.766¡À0.033_,0.736¡À0.036
vote,0.934¡À0.022,0.587¡À0.435_,0.884¡À0.022_,0.957¡À0.013_,0.970¡À0.014_
house,0.942¡À0.015,0.943¡À0.015,0.883¡À0.029_,0.957¡À0.020_,0.968¡À0.011_
heart,0.799¡À0.029,0.826¡À0.026_,0.537¡À0.057_,0.836¡À0.026_,0.791¡À0.030
breast-cancer,0.717¡À0.033,0.710¡À0.031,0.706¡À0.027,0.696¡À0.031_,0.725¡À0.027_
haberman,0.734¡À0.030,0.728¡À0.029,0.738¡À0.020,0.667¡À0.040_,0.738¡À0.020
vehicle,0.959¡À0.012,0.956¡À0.012,0.566¡À0.160_,0.960¡À0.010,0.959¡À0.013
clean1,0.803¡À0.035,0.798¡À0.031,0.561¡À0.025_,0.821¡À0.027_,0.814¡À0.019_
wdbc,0.963¡À0.012,0.966¡À0.010,0.623¡À0.020_,0.968¡À0.009_,0.968¡À0.011_
isolet,0.995¡À0.003,0.501¡À0.503_,0.621¡À0.207_,0.995¡À0.003,0.997¡À0.002_
credit-a,0.861¡À0.014,0.862¡À0.013,0.596¡À0.063_,0.863¡À0.013,0.864¡À0.013_
austra,0.857¡À0.013,0.842¡À0.055,0.567¡À0.044_,0.858¡À0.013,0.859¡À0.015
australian,0.844¡À0.019,0.842¡À0.020,0.576¡À0.049_,0.858¡À0.016_,0.866¡À0.014_
fourclass,0.724¡À0.014,0.377¡À0.238_,0.641¡À0.020_,0.736¡À0.014_,0.723¡À0.014
Table 2: Accuracy (mean¡Àstd.) comparison on regular scale data sets. Linear kernels are used. The best accuracy on each data set is bolded. _/_ indicates the performance is significantly better/worse than SVM (paired t-tests at 95% significance level). The win/tie/loss counts are summarized in the last row. ,,,,,
