,Name-match,Name-match,Name-match,SVM,SVM,SVM,MNA,MNA,MNA,SiGMa,SiGMa,COSNET,COSNET,COSNET,COSNET,COSNET -,COSNET -,COSNET -
Network Pair,Prec.,Rec.,F1,Prec.,Rec.,F1,Prec.,Rec.,F1,Prec.,Rec.,F1,Prec.,Rec.,F1,Prec.,Rec.,F1
Twitter  LiveJournal,77.05,54.77,64.02,61.91,73.92,67.39,70.53,74.54,72.48,91.03,43.31,58.69,77.44,75.83,76.63,76.12,75.52,75.82
Twitter  Flickr,82.75,58.69,68.67,60.46,71.72,65.61,77.52,70.59,73.9,92.75,47.69,62.99,81.06,73.82,77.28,80.33,73.17,76.58
Twitter  Last.fm,72.21,54.19,61.95,46.39,71.26,56.2,75.09,69.41,72.14,90.21,44.19,59.32,80.03,72.14,75.89,77.21,73.85,75.49
Twitter  MySpace,73.29,41.82,53.25,57.95,72.44,41.74,75.16,66.94,70.82,88.29,35.82,50.96,81.46,70.25,75.45,78.48,69.56,73.75
LiveJournal  Flickr,87.3,51.89,65.09,59.25,77.53,67.16,75,73.25,74.12,93.3,46.89,62.41,83.69,79.38,81.48,81.52,78.12,79.78
LiveJournal  Last.fm,86.58,42.46,56.98,44.05,60.5,50.98,73.89,62.47,67.7,91.58,39.46,55.15,77.5,70.93,74.07,75.94,69.76,72.73
LiveJournal  MySpace,80.43,36.73,50.44,44.29,57.26,49.95,79.66,58.14,67.22,89.43,32.73,47.92,85.18,65.57,74.1,82.48,64.17,72.18
Flickr  Last.fm,95.81,44.9,61.15,78.46,60,68,82.7,62.44,71.16,96.81,41.9,58.49,88.18,67.84,76.69,84.06,66.52,74.27
Flickr  MySpace,96.49,43.65,60.11,66.17,54.26,59.63,87.68,57.79,69.66,98.49,34.65,51.26,90.04,62.63,73.87,89.05,61.93,73.06
Last.fm  MySpace,95.65,31.86,47.8,69.92,53.26,60.47,79.53,55.83,65.6,95.65,32.86,48.92,82.27,61.38,70.31,81.16,59.26,68.68
Overall,81.18,44.46,56.94,59.79,69.32,64.2,76.05,66.76,70.84,91.27,45.33,60.57,82.05,71.1,76.04,76.15,68.43,72.08
ArnetMiner  LinkedIn,59.5,69.94,64.3,67.65,87.19,76.18,78.51,72.14,75.13,88.5,47.39,61.72,86.02,86.74,86.38,84.84,83.15,83.98
ArnetMiner  VideoLectures,46.56,84.1,59.94,40.63,86.92,55.37,64.27,83.32,73.96,87.56,58.1,69.85,70.76,89.46,79.01,69.19,87.1,"77,10"
LinkedIn  VideoLectures,11.75,82.22,20.55,30.45,58.89,40.15,36.71,73.33,48.92,85.75,54.22,66.43,50.12,86.67,65.31,37.48,79.9,51.02
Overall,48.59,75.22,59.04,52.09,86.73,67.02,62.31,77.65,69.14,87.27,57.08,69.01,70.96,87.62,78.41,64.49,80.41,71.58
Table 2: Performance comparison of different methods for network integration task. The results are presented jointly and separately for each pair of networks . ,,,,,,,,,,,,,,,,,,
