k,26,26,26,27,27,27,28,28,28,29,29,29,210,210,210,212,212,212,214,214,214
,RT,ARE,CR,RT,ARE,CR,RT,ARE,CR,RT,ARE,CR,RT,ARE,CR,RT,ARE,CR,RT,ARE,CR
com-Youtube,0.146,0,1,0.202,0,1,0.266,0,1,0.439,0,1,0.74,0,1,2.81,0,1,11,0,1
as-skitter,0.578,10月5日,0.999,0.984,10月5日,0.999,1.2,10月5日,0.999,2.01,10月5日,0.999,3.94,10月5日,0.999,16.3,10月5日,0.999,64.3,10月5日,0.999
roadNet-CA,2.89,0.05,0.09,3.72,0.04,0.09,5.33,0.02,0.21,9,0.02,0.21,16.3,0.005,0.39,60.8,0.002,0.85,270,10月4日,0.964
wiki-Talk,0.288,10月5日,0.999,0.427,10月5日,0.999,0.765,10月6日,0.999,1.18,10月6日,0.999,1.82,10月6日,0.999,6.51,10月6日,0.999,17.1,10月7日,0.999
soc-LJ,0.76,10月5日,0.999,1.07,10月5日,0.999,1.58,10月5日,0.999,2.53,10月5日,0.999,4.5,10月5日,0.999,15.9,10月5日,0.999,57.1,10月5日,0.999
cit-Patents,0.894,10月4日,0.997,1.24,10月5日,0.999,1.86,10月5日,0.999,2.63,10月5日,0.999,3.85,10月5日,0.999,13.3,10月5日,0.999,46.9,10月5日,0.999
com-LJ,0.526,0,1,0.874,0,1,1.42,0,1,2.6,0,1,4.17,0,1,16.7,0,1,56.6,0,1
com-Orkut,1.01,0.001,0.99,1.64,0.001,0.994,2.85,10月4日,0.999,5.16,10月5日,0.999,9.19,10月5日,0.999,32.1,10月6日,0.999,114,0,1
nlpkkt240,30.5,-,-,46.4,-,-,80.1,-,-,142,-,-,289,-,-,1140,-,-,4070,-,-
Twitter,200,-,-,238,-,-,409,-,-,518,-,-,781,-,-,2690,-,-,5990,-,-
com-Friendster,85.1,-,-,117,-,-,198,-,-,251,-,-,367,-,-,1120,-,-,-,-,-
Yahoo,655,-,-,1060,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
randLocal,0.829,0.078,0.143,1.13,0.07,0.228,1.58,0.061,0.334,2.42,0.05,0.45,4.18,0.035,0.616,15.2,0.014,0.846,55.2,0.003,0.965
3D-grid,9.67,0.123,10月6日,14,0.098,10月4日,21.4,0.078,10月4日,36.4,0.061,0.001,66.8,0.047,0.001,264,0.028,0.005,1340,0.016,0.019
"Table 2: Running time (seconds) on 40 cores with hyper-threading (RT), average relative error (ARE), and correctness ratio (CR) versus k for k-BFS. ",,,,,,,,,,,,,,,,,,,,,
