,Hospital 1,Hospital 1,Hospital 2,Hospital 2,Hospital 2,Hospital 2
Method,Precision,Recall,AUC,Precision,Recall,AUC
Random,0.0207,0.2,0.5,0.0281,0.2,0.5
Target-only,0.0435,0.2632,0.6043,0.0469,0.3333,0.6234
Source-only,0.0383,0.3684,0.6718,0.0719,0.5111,0.7456
Target + Source (Unweighted),0.0492,0.4737,0.6993,0.0781,0.5556,0.7525
STS,0.0383,0.3684,0.723,0.0781,0.5556,0.7528
Random,0.0471,0.2,0.5,0.0542,0.2,0.5
Target-only,0.0263,0.1111,0.4029,0.1458,0.5385,0.8489
Source-only,0.1053,0.4444,0.6636,0.1667,0.6154,0.858
Target + Source (Unweighted),0.1053,0.4444,0.6575,0.1667,0.6154,0.8553
STS,0.1053,0.4444,0.677,0.2083,0.7692,0.8919
Random,0.0064,0.2,0.5,0.0148,0.2,0.5
Target-only,-,-,-,0.0514,0.6923,0.8347
Source-only,0.0317,1,0.9615,0.0629,0.8462,0.8884
Target + Source (Unweighted),0.0317,1,0.9599,0.0686,0.9231,0.9077
STS,0.0317,1,0.984,0.0629,0.8462,0.9221
,Hospital 1,Hospital 1,Hospital 2,Hospital 2,Hospital 2,Hospital 2
,Precision,Recall,AUC,Precision,Recall,AUC
Random,0.0743,0.2,0.5,0.0949,0.2,0.5
Target-only,0.2022,0.5441,0.7612,0.2,0.4211,0.7154
Source-only,0.2186,0.5882,0.7661,0.2344,0.4934,0.7559
Target + Source (Unweighted),0.2404,0.6471,0.779,0.2375,0.5,0.7591
STS,0.2186,0.5882,0.7827,0.2313,0.4868,0.7537
Random,0.2158,0.2,0.5,0.1674,0.2,0.5
Target-only,1,0.122,0.284,0.4375,0.525,0.7327
Source-only,0.5526,0.5122,0.7401,0.3958,0.475,0.7602
Target + Source (Unweighted),0.5789,0.5366,0.7324,0.4167,0.5,0.7666
STS,0.6316,0.5854,0.7874,0.375,0.45,0.7534
Random,0.0287,0.2,0.5,0.0559,0.2,0.5
Target-only,0.127,0.8889,0.8189,0.1371,0.4898,0.7531
Source-only,0.1111,0.7778,0.8623,0.1486,0.5306,0.7851
Target + Source (Unweighted),0.0952,0.6667,0.8656,0.1486,0.5306,0.7787
STS,0.0952,0.6667,0.8477,0.1486,0.5306,0.802
"Table 2: Operative Mortality: Comparing Target + Source (Unweighted) to Random, Target-only, Source- only, and STS baselines. Estimated precision, recall, and AUC are shown for Isolated AVR, Isolated MVR, and Isolated MV Repair procedures at each hospital. The best precision, recall, and AUC are in bold. Random precision (incidence in the population), recall (0.20), and AUC (0.50) are shown in the top row for each experiment. The Target-only performance for Isolated MV Repair at Hospital 1 is missing because there were not enough positive examples to develop a model (only two adverse events). Target + Source (Unweighted) performance is better than Target-only performance on all tasks, and it is comparable to STS performance for all six tasks (p-values from McNemar¡¯s test > 0.05). ",,,,,,
