Data set,NMI,NMI,NMI,NMI,NMI,Rn,Rn,Rn,Rn,Rn,Jaccard,Jaccard,Jaccard,Jaccard,Jaccard,F-measure,F-measure,F-measure,F-measure,F-measure,,,,,,,,,,,,,,,,
Data set,K-means,K-means--,COR,K-means,K-means--,COR,K-means,K-means--,COR,K-means,K-means--,COR,,,,,,,,,,,,,,,,,,,,,,,,
ecoli,62.27,,2.78,61.81,,2.37,63.16,,1.76,56.6,,11.23,52.62,,10.33,61.68,,8.74,2.34,,2.02,45.76,,12.78,47.37,,3.75,4.5,,3.71,61.58,,14.6,64.21,,3.24
yeast,19.91,,0.77,15.81,,1.52,20.41,,1.08,14.4,,0.72,11.85,,1.93,18.07,,2.04,4.92,,1.33,14.38,,6.14,50.47,,1.45,9.34,,2.45,24.69,,8.92,67.07,,1.29
caltech,69.13,,9.92,65.34,,11.76,82.69,,7.04,47.65,,15.48,53.26,,24.94,71.25,,18.18,8.27,,11.41,30.36,,15.45,97.19,,1.39,13.59,,17.88,44.37,,19.84,98.57,,0.72
sun09,19.67,,0.21,10.76,,1.41,21.5,,1.17,18.61,,0.21,9.11,,1.69,20.29,,1.91,1.84,,0.09,3.27,,0.44,2.27,,0.22,3.62,,0.16,6.34,,0.81,4.44,,0.42
fbis,9.77,,2.41,30.27,,3.43,54.13,,0.85,-0.9,,0.23,9,,3.65,38.36,,2.32,0.02,,0.07,5.21,,0.15,23.77,,2.24,0.03,,0.14,9.91,,0.27,38.35,,2.95
k1b,34.4,,18.55,33.11,,17.06,50,,5.15,25.12,,18.87,21.74,,22.48,32.19,,9.82,0,,0,0,,0,20.53,,0.82,0,,0,0,,0,34.06,,1.12
re0,17.14,,3.06,15.28,,2.78,32.12,,2.76,8.86,,2.8,8.74,,4.54,21.76,,3.83,3.18,,2.38,8.82,,0.68,28.5,,1.2,6.07,,4.45,16.2,,1.15,44.34,,1.44
re1,16.19,,3.47,11.57,,3.92,35.46,,2.69,2.79,,1.36,3.59,,1.81,20.79,,2.51,0.29,,0.25,16.75,,0.34,27.64,,1.88,0.59,,0.5,28.7,,0.51,43.28,,2.3
tr11,9.61,,0.68,14.89,,6.95,58.69,,3.94,0.4,,0.12,3.92,,4.71,50.95,,8.55,0,,0,9.93,,0.42,34.06,,3.03,0,,0,18.06,,0.7,50.74,,3.44
tr23,7.08,,0.81,9.82,,2.86,19.43,,6.6,-3.67,,0.47,1.31,,3.02,14.01,,8.04,0,,0,5.87,,1.02,12.35,,2.66,0,,0,11.08,,1.84,21.88,,4.31
wap,40.51,,2.85,22.75,,10.42,48.31,,2.47,12.03,,2.31,6.33,,6.33,29.24,,7.4,0.6,,0.51,10.98,,0.31,22.01,,1.3,1.18,,0.99,19.78,,0.5,36.06,,1.74
glass,31.35,,5.9,33.48,,3.78,35.88,,3.94,20.03,,3.5,23.47,,2.09,24.86,,1.72,8.23,,5.41,24,,8.28,32.67,,2.87,14.8,,8.84,37.97,,11.59,49.18,,3.24
shuttle,11.06,,12.49,22.95,,3.21,30.74,,5.41,18.18,,22.67,27.73,,5.71,47.4,,12.89,0,,0,5.39,,0,5.58,,0.93,0,,0,10.22,,0,10.56,,1.73
kddcup,1.41,,0.05,67.04,,5.18,86.12,,0.6,0.04,,0,71.4,,9.81,93.91,,0.85,0.01,,0,15.06,,3.26,15.98,,0.63,0.02,,0,26.03,,5.55,27.55,,0.96
Average,24.96,,,29.63,,,45.62,,,15.72,,,21.72,,,38.91,,,2.12,,,12.98,,,30.03,,,3.84,,,22.49,,,42.16,,
Score,58.48,,,62.54,,,100,,,42.47,,,49.05,,,100,,,8.56,,,54.34,,,97.82,,,10.03,,,58.28,,,97.87,,
Table 2: Performance of clustering with outlier removal via di erent algorithms (%) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
