,Bibtex,Bibtex,Bibtex,Delicious-S,Delicious-S,Delicious-S,Mediamill,Mediamill,Mediamill
Algorithm,nDCG@1,nDCG@3,nDCG@5,nDCG@1,nDCG@3,nDCG@5,nDCG@1,nDCG@3,nDCG@5
KNN,57.81,52.36,54.57,64.8,60.71,57.02,82.59,75.62,72.76
OneVsAll,62.62,59.44,61.73,64.9,60.94,56.54,83.67,73.9,67.75
LPSR,62.98,57.11,58.76,64.46,60.47,56.19,83.65,74.12,69.12
ML-CSSP,56.86,52.54,54.81,63.96,59.07,54.86,83.21,72.67,65.05
CS,59.6,53.08,53.74,61.26,57.85,54.44,83.97,75.29,71.99
CPLST,61.99,57.66,59.71,65.65,61.52,58,83.79,74.44,70.49
WSABIE,55.03,50.26,52.33,63.67,59.47,56.37,79.86,72.51,69.31
LEML,63.1,58.84,61.06,64.96,61.8,58.42,83.09,75.23,71.96
SLEEC,64.49,59.9,62.29,67.41,62.46,59.02,86.61,80.04,77.71
REML,65.13,60.01,62.46,66.3,62.65,59.1,86.73,82.67,78.32
"Table 2: nDCG@k of multi-label learning algorithms on the Bibtex, Delicious-S, Mediamill datasets. ",,,,,,,,,
