,Flickr1M,Flickr2M,Flickr3M,Flickr4M,Flickr5M,Flickr6M,Flickr7M,MilionSong,MilionSong,MilionSong,MilionSong,MilionSong,MilionSong,MilionSong
,OPT,SH,MLSH,SLSH,LLSH,DSH,ISO,OPT,SH,MLSH,SLSH,LLSH,DSH,ISO
recall,5.5,8.8,27.9,/,/,/,/,5.3,9.8,26.3,/,/,34.8,/
recall,4.2,5.5,19.5,/,52.3,14.5,28.5,4.1,5.9,20.2,/,47.6,13.7,21.5
recall,3.1,3.7,14.5,11.4,21.5,7.9,6.9,3.1,3.9,15.1,13.1,24.4,6.8,5.75
recall,0.61,0.97,2.33,/,/,/,/,0.57,1.08,2.99,/,/,3.62,/
recall,0.47,0.61,1.62,/,5.82,1.45,3.15,0.44,0.66,2.31,/,5.28,1.43,2.24
recall,0.37,0.4,1.23,1.26,2.35,0.88,0.79,0.33,0.42,1.71,1.46,2.71,0.71,0.64
recall,,283,3485,/,/,/,/,,148,1770,/,/,347,/
recall,,170,1765,/,405,349,520,,101,832,/,207,137,160
recall,,105,827,264,124,152,145,,66,441,113,70,90,80
Table 1: Overall Comparison,,,,,,,,,,,,,,
