Dataset/Model:,SVM-RBF,SVM-Poly,NNet,GSM,NonGSM,SAA-3,RBM,SUGAR-3
Rectangles,2.15,2.15,7.16,0.83,0.56,2.41,4.71,3.49
RectImg,24.04,24.05,33.2,22.51,23.17,24.05,23.69,22.55
Convex,19.13,19.82,32.25,17.08,21.03,18.41,19.92,17
MNISTBasic,3.03,3.69,4.69,3.7,3.98,3.46,3.94,3.47
MNISTRot,11.11,15.42,18.11,11.75,16.15,10.3,14.69,9.53
MNISTRand,14.58,16.62,20.04,10.48,11.89,11.28,9.8,11.4
MNISTImg,22.61,24.01,27.41,23.65,22.07,23,16.15,20.65
MNISTRotImg,55.18,56.41,62.16,55.82,55.16,51.93,52.21,49.4
Average,18.98,20.27,25.63,18.23,19.25,18.11,18.14,17.19
"Table 3: Classification error rates on the benchmark datasets (error rates are in %). Models: SVM-RBF: SVM with RBF kernels. SVM-Poly: SVM with polynomial kernels. NNet: (MLP) Feed-forward results from [18]. The best results obtained by all these models are marked in bold.  neural net. GSM: Gated softmax classifier. NonGSM: Non- factored gated softmax classifier. SAA-3: Three-layer stacked auto-associator. RBM: Restricted boltzmann machine. SUGAR-3: Three-layer stacked SUGAR. The results of SVM-RBF, SVM-Poly, NNet, SAA-3 and RBM are taken from [15], GSM and NonGSM ",,,,,,,,
