,K-Means,K-Means,Ratio Cut,Ratio Cut,Normalized Cut,Normalized Cut,NMF,CAN,PCAN,
,%(min_obj),Average%,%(min_obj),Average%,%(min_obj),Average%,,,,
Umist,66.61,64.44¡À1.77 ,81.64,77.78¡À1.79 ,78.15,77.26¡À1.88 ,78.97,88.52,85.6,
Coil20,80.66,73.45¡À2.61 ,87.1,84.01¡À1.94 ,89.17,84.42¡À1.93 ,81.22,94.6,89.1,
Jaffe50,91.75,82.44¡À5.48 ,96.23,90.24¡À4.29 ,96.23,89.43¡À4.16 ,96.23,96.23,100,
USPS,62.99,62.07¡À1.64 ,75.8,73.95¡À2.41 ,75.78,73.97¡À2.40 ,74.15,80.46,68.93,
Palm,89.42,88.59¡À1.08 ,87.17,85.68¡À0.64 ,86.53,85.59¡À0.62 ,85.73,94.33,95.14,
MSRA50,66.89,62.79¡À3.72 ,59.97,58.59¡À2.37 ,59.84,57.38¡À3.10 ,63.49,70.32,70.1,
Stock,73.7,76.35¡À6.22 ,62.57,56.56¡À5.69 ,62.57,56.20¡À6.40 ,60.29,74.89,68.3,
Pathbased,51.28,51.30¡À0.04 ,55.16,55.16¡À0.00 ,55.16,55.16¡À0.00 ,52.51,75.63,75.63,
Movements,60.43,57.20¡À1.89 ,64.76,61.89¡À2.33 ,61.39,59.85¡À2.05 ,58.95,64.07,60.84,
Spiral,0.03,0.05¡À0.02 ,98.35,94.98¡À12.34 ,98.35,94.19¡À13.95 ,75.95,100,100,
Wine,84.89,82.41¡À1.44 ,84.47,84.37¡À1.25 ,83.24,84.02¡À3.90 ,83.24,88.97,100,
Compound,69.68,69.60¡À5.68 ,73.37,70.71¡À4.44 ,73.34,70.29¡À4.39 ,73.26,79.27,78.65,
Yeast,26.15,25.19¡À1.06 ,27.95,24.94¡À1.37 ,25.63,23.88¡À1.35 ,23.66,30.3,30.55,
Glass,32.95,33.13¡À2.60 ,29.37,29.10¡À3.05 ,28,28.58¡À2.49 ,28.7,26.91,33.82,
Ecoli,53.34,53.04¡À3.02 ,51.26,48.96¡À3.11 ,51.26,49.78¡À2.32 ,47.12,72.2,72.44,
Table 4: Clustering NMI on Real Datasets ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
