Dataset Penalty Func.,Measure,Youtube,PubMed,CoRA,IMDb
LWD,Hamming Sc.,18.27 ¡À  0.09,41.13 ¡À  1.28,37.74 ¡À  0.10,32.77 ¡À  0.15
LWD,Micro-F1 Sc.,24.29 ¡À  0.16,41.12 ¡À  1.37,37.71 ¡À  0.10,40.93 ¡À  0.55
LWD,Macro-F1 Sc.,8.09 ¡À  0.08,21.63 ¡À  2.39,6.33 ¡À  0.11,9.84 ¡À  0.25
LWRD,Hamming Sc.,35.05 ¡À  2.79,78.55 ¡À  0.37,60.46 ¡À  2.56,32.76 ¡À  0.12
LWRD,Micro-F1 Sc.,40.64 ¡À  1.12,78.55 ¡À  0.37,60.45 ¡À  2.55,40.91 ¡À  0.46
LWRD,Macro-F1 Sc.,33.43 ¡À  2.20,76.35 ¡À  0.77,49.33 ¡À  4.38,9.82 ¡À  0.22
LWRLD,Hamming Sc.,36.15 ¡À  2.58,80.04 ¡À  0.19,67.39 ¡À  2.23,32.90 ¡À  0.36
LWRLD,Micro-F1 Sc.,41.26 ¡À  1.34,80.04 ¡À  0.19,67.39 ¡À  2.24,41.30 ¡À  0.44
LWRLD,Macro-F1 Sc.,35.66 ¡À  3.31,78.28 ¡À  0.24,57.47 ¡À  3.96,16.56 ¡À  0.31
"Table 2: Evaluation of multi-label classification with different penalty functions, using 10% of labeled data for training. ",,,,,
