Data set,Jaccard,Jaccard,Jaccard,Jaccard,Jaccard,Jaccard,Jaccard,Jaccard,Jaccard,F-measure,F-measure,F-measure,F-measure,F-measure,F-measure,F-measure,F-measure,F-measure
Data set,LOF,COF,LDOF,FABOD,iForest,OPCA,TONMF,K-means--,COR,LOF,COF,LDOF,FABOD,iForest,OPCA,TONMF,K-means--,COR
ecoli,20,38.46,5.88,20,38.28,5.88,0,45.76,47.37,33.33,55.56,11.11,33.33,55.56,11.11,0,61.58,64.21
yeast,11.45,11.45,5.11,13.85,23.75,26.71,8.66,14.38,50.47,20.54,20.54,9.73,24.32,38.38,42.16,8.11,24.69,67.07
caltech,2.29,0.75,1.52,8.06,27.62,0,0,30.36,97.19,4.48,1.49,2.99,14.93,43.28,0,1.49,44.37,98.57
sun09,1.01,2.04,0,2.04,2.04,0,0,3.27,2.27,2,4,0,4,4,0,6,6.34,4.44
fbis,8.32,5.56,4.9,6.41,5.4,4.4,8.32,5.21,23.77,15.36,10.54,9.34,12.05,10.24,8.43,15.36,9.91,38.35
k1b,0,0,0,0.84,0,0,1.69,0,20.53,0,0,0,1.67,0,0,3.33,0,34.06
re0,2.59,5.31,3.07,6.34,2.83,11.79,7.13,8.82,28.5,5.05,10.09,5.96,,5.5,21.1,13.3,16.2,44.34
re1,21.85,15.44,15.19,18.83,16.85,17.77,16.98,16.75,27.64,35.86,26.76,26.38,31.69,28.84,30.17,29.03,28.7,43.28
tr11,10.13,8.75,19.18,10.83,8.75,8.75,12.99,9.93,34.06,18.39,16.09,32.18,19.54,16.09,16.09,22.99,18.06,50.74
tr23,4.92,4.92,6.67,10.34,6.67,1.59,10.34,5.87,12.35,9.37,9.37,12.5,18.75,12.5,3.12,18.75,11.08,21.88
wap,10.82,12.3,6.36,12.81,11.31,6.58,7.49,10.98,22.01,19.52,21.91,11.95,22.71,23.75,12.35,13.94,19.78,36.06
glass,16.42,36.84,4,25.81,13.04,14.71,0,24,32.67,28.21,53.85,76.9,41.03,23.08,25.64,0,37.97,49.18
shuttle,12.44,12.96,0.21,7.25,1.46,3.61,0,5.39,5.58,22.13,22.95,0.41,13.52,2.87,6.97,0,10.22,10.56
kddcup,,,,,21.22,15.66,8.66,15.06,15.98,,,,,35.01,27.08,15.94,26.03,27.55
Average,9.4,11.91,5.55,11.03,12.8,8.39,5.83,12.98,30.03,16.48,19.47,15.34,19.19,21.36,14.59,10.59,22.49,42.16
Score,34.33,41.88,18.73,40.1,42.14,28.54,30.72,48.15,91.17,37.09,42.8,27.79,43.02,46.7,31.48,33.6,51.13,89.91
Table 4: Performance of outlier detection via di erent algorithms (%) ,,,,,,,,,,,,,,,,,,
