Higher Education Institution Overall,Research,Academic Academic,Academic Academic,International,International
,Productivity,Quality,Sustainability,Factor,Score
University of Cambridge (UC),36.9,16.6,10.1,2.7,66.27
Massachusetts Institute of Technology (MIT),31,13.9,10.3,3.2,58.4
Stanford University (SU),24.6,11.2,10.8,2.6,49.06
Carnegie Mellon University (CMU),24.8,10.4,9.1,2.7,47.03
University of Illinois At Urbana Champaign (UIUC),19.3,17,9.2,1,46.49
Georgia Institute of Technology (GIT),18,15.6,9.6,0.8,44.07
Princeton University (PrU),23.3,7.2,9.8,1.6,41.87
University of Hong Kong (UHK),16.8,10.8,9.5,3.6,40.71
Purdue University (PU),15.2,12.9,8.6,0.2,37
University of Washington (UW) ,10,15,10.2,1.4,36.65
"Table 6. Top -10 Higher Education Institutions, as ranked by the Open Ranking ",,,,,
