,UCF101,UCF101,UCF101,UCF101,UCF101,UCF101,FCVID,FCVID,FCVID,FCVID,FCVID,FCVID
,Top-1 Acc,Top-2 Acc,Top-3 Acc,Top-4 Acc,Top-5 Acc,Top-10 Ac,Top-1 Acc,Top-2 Acc,Top-3 Acc,Top-4 Acc,Top-5 Acc,Top-10 Ac
Top-1 [27],70.85,81.57,86.46,87.28,88.35,90.28,56.85,67.57,72.46,73.29,74.35,76.28
Top-2 [27],70.24,80.83,86.18,86.93,87.85,89.88,56.24,66.84,72.18,72.94,73.85,75.88
Top-5 [27],70.66,81.16,86.33,87.15,88.04,90.16,56.67,67.17,72.33,73.15,74.05,76.16
SVMOVA,70.94,83.39,87.29,88.42,89.17,91.68,56.95,69.39,73.3,74.43,75.17,77.68
TopPush,72.49,85.16,88.14,88.98,89.85,92.56,58.5,71.16,74.14,74.98,75.86,78.56
top-1 SVMα,78.83,88.21,91.2,92.89,93.97,96.8,64.84,74.21,77.21,78.89,79.98,82.8
top-2 SVMα,78.56,88.18,91.28,93.1,93.87,96.78,64.56,74.19,77.28,79.1,79.88,82.78
top-3 SVMα,77.98,87.87,91.22,93.13,93.95,96.8,63.99,73.88,77.23,79.13,79.95,82.81
top-4 SVMα,77.58,87.81,91.12,93.02,93.87,96.75,63.59,73.82,77.12,79.03,79.87,82.76
top-5 SVMα,77.06,87.68,91.09,92.86,93.95,96.85,63.07,73.68,77.09,78.86,79.95,82.85
top-10 SVMα,75.61,87.18,90.8,92.84,93.58,96.78,61.62,73.19,76.8,78.85,79.59,82.78
top-20 SVMα,73.83,85.78,89.92,92.33,93.37,96.71,59.84,71.79,75.93,78.33,79.37,82.71
top-1 SVMβ,78.83,88.21,91.2,92.89,93.97,96.8,64.83,74.21,77.2,78.9,79.98,82.81
top-2 SVMβ,79.14,88.78,91.63,93.02,94.18,97.32,65.15,74.78,77.63,79.02,80.18,83.32
top-3 SVMβ,79.37,88.95,91.84,92.96,93.96,97.11,65.37,74.95,77.85,78.97,79.96,83.11
top-4 SVMβ,79.05,88.36,91.38,92.23,93.96,96.86,65.06,74.37,77.39,78.24,79.96,82.87
top-5 SVMβ,77.85,87.95,91.54,92.51,93.89,95.92,63.85,73.95,77.55,78.52,79.89,81.92
top-10 SVMβ,76.53,87.36,91.33,92.87,93.84,95.87,62.53,73.37,77.34,78.87,79.85,81.87
top-20 SVMβ,74.17,86.04,91.28,92.69,93.12,95.46,60.17,72.04,77.28,78.69,79.13,81.46
rtop-1 SVM,78.97,89.59,92.12,94.03,95.16,97.88,65.01,75.58,78.21,80.04,81.12,83.89
rtop-2 SVM,79.23,90.18,92.58,94.16,95.64,98.02,65.21,76.05,78.51,80.12,81.58,84.04
rtop-3 SVM,79.85,90.35,92.29,94.11,95.23,97.61,65.85,76.19,78.27,80.13,81.06,83.52
rtop-4 SVM,79.28,89.59,91.95,93.64,95.02,97.76,65.38,75.69,77.95,79.64,81.02,83.75
rtop-5 SVM,80.17,90.37,92.58,94.25,95.25,97.62,66.21,76.42,78.68,80.29,81.3,83.62
rtop-10 SVM,81.27,91.54,92.87,94.56,95.76,98.32,67.01,77.39,78.89,80.45,81.65,84.42
rtop-20 SVM,80.15,90.27,92.49,94.01,95.51,98.03,65.97,76.12,78.25,89.86,81.25,84.02
Table 2: Performance comparison between di erent multi-class classi cation algorithms on UCF 101 and FCVID datasets. Top-k accuracy is used as an evaluation metric. A larger value indicates a better performance. ,,,,,,,,,,,,
