,Caltech 101 Sihouettes,Caltech 101 Sihouettes,Caltech 101 Sihouettes,Caltech 101 Sihouettes,Caltech 101 Sihouettes,Caltech 101 Sihouettes,MIT Indoor 67,MIT Indoor 67,MIT Indoor 67,MIT Indoor 67,MIT Indoor 67,MIT Indoor 67
,Top-1 Acc,Top-2 Acc,Top-3 Acc,Top-4 Acc,Top-5 Acc,Top-10 Ac,Top-1 Acc,Top-2 Acc,Top-3 Acc,Top-4 Acc,Top-5 Acc,Top-10 Ac
Top-1 [27],62.13,73.68,79.59,80.05,83.08,88.65,69.76,78.64,81.64,83.17,84.62,90.83
Top-2 [27],61.42,72.11,79.23,79.94,83.42,88.93,68.84,77.33,80.87,82.69,83.96,90.14
Top-5 [27],60.24,70.65,78.71,79.16,83.42,88.93,69.43,78.52,81.29,82.95,84.25,90.47
SVMOVA,61.81,73.13,76.25,77.76,78.89,83.57,71.72,81.49,84.93,86.49,87.39,90.45
TopPush,63.11,75.16,78.46,80.19,81.97,86.95,70.52,83.13,86.94,90,91.64,95.9
top-1 SVMα,62.81,74.6,77.76,80.02,81.97,86.91,73.96,85.22,89.25,91.94,93.43,96.94
top-2 SVMα,63.11,76.16,79.02,81.01,82.75,87.65,73.06,85.67,90.37,92.24,94.48,97.31
top-3 SVMα,63.37,76.72,79.67,81.49,83.57,88.25,71.57,86.27,91.12,93.21,94.7,97.24
top-4 SVMα,63.2,76.64,79.76,82.36,84.05,88.64,71.42,85.67,90.75,93.28,94.78,97.84
top-5 SVMα,63.29,76.81,80.02,82.75,84.31,88.69,70.67,85.75,90.37,93.21,94.7,97.91
top-10 SVMα,62.98,77.33,80.49,82.66,84.57,89.55,70,85.45,90,93.13,94.63,97.76
top-20 SVMα,59.21,75.64,80.88,83.49,85.39,90.33,65.9,84.1,89.93,92.69,94.25,97.54
top-1 SVMβ,62.81,74.6,77.76,80.02,81.97,86.91,73.96,85.22,89.25,91.94,93.43,96.94
top-2 SVMβ,63.55,76.25,79.28,81.14,82.62,87.91,74.03,85.9,89.78,92.24,94.1,97.31
top-3 SVMβ,63.94,76.64,79.71,81.36,83.44,87.99,72.99,86.34,90.6,92.76,94.4,97.24
top-4 SVMβ,63.94,76.85,80.15,82.01,83.53,88.73,73.06,86.19,90.82,92.69,94.48,97.69
top-5 SVMβ,63.59,77.03,80.36,82.57,84.18,89.03,72.61,85.6,90.75,92.99,94.48,97.61
top-10 SVMβ,64.02,77.11,80.49,83.01,84.87,89.42,71.87,85.3,90.45,93.36,94.4,97.76
top-20 SVMβ,63.37,77.24,81.06,83.31,85.18,90.03,71.94,85.3,90.07,92.46,94.33,97.39
rtop-1 SVM,64.89,77.03,81.18,83.17,84.49,88.49,74.02,85.13,89.96,92.36,94.03,97.69
rtop-2 SVM,64.97,77.65,82.53,83.42,84.73,89.03,73.75,85.58,90.11,92.49,94.06,97.46
rtop-3 SVM,65.23,77.84,82.64,83.29,84.98,89.44,74.12,85.03,89.59,92.28,93.85,96.58
rtop-4 SVM,65.49,78.35,83.12,83.57,84.77,89.97,74.69,85.98,90.03,92.79,94.13,97.39
rtop-5 SVM,,,,,,,73.84,85.86,91.05,92.86,95.16,97.84
rtop-10 SVM,66.21,78.64,83.28,84.02,85.38,91.73,73.28,86.87,91.68,94.74,96.42,98.22
rtop-20 SVM,66.46,77.63,83.21,84.14,84.35,90.21,72.69,85.68,90.28,94.12,94.89,97.85
Table 1: Performance comparison between di erent multi-class classi cation algorithms on Caltech 101 Sihouettes and MIT Indoor 67 datasets. Top-k accuracy is used as an evaluation metric. A larger value indicates a better performance. ,,,,,,,,,,,,
