Recommendation,base performance,base performance,base performance,performance on 15 subgroups,performance on 15 subgroups,performance on 15 subgroups,performance on 25 subgroups,performance on 25 subgroups,performance on 25 subgroups
Method,P@10,NDCG@10,F1@10,P@10,NDCG@10,F1@10,P@10,NDCG@10,F1@10
POP,0.222,0.301,0.118,0.258,0.351,0.139,0.282,0.373,0.156
User-based,0.221,0.333,0.109,0.235,0.347,0.121,0.244,0.351,0.128
Item-based,0.335,0.421,0.188,0.302,0.394,0.172,0.292,0.384,0.165
SVD,0.292,0.395,0.149,0.304,0.409,0.16,0.296,0.414,0.154
NMF,0.341,0.422,0.189,0.34,0.416,0.19,0.324,0.411,0.179
MMMF,0.176,0.295,0.082,0.199,0.306,0.103,0.211,0.317,0.112
NPCA,0.151,0.283,0.066,0.151,0.297,0.067,0.157,0.303,0.074
PD,0.184,0.293,0.092,0.205,0.297,0.114,0.216,302,0.121
"Table 2: Performance Comparisons on MovieLens-100K in terms of Precision, F1 and NDCG. 15 and 25 subgroups are used for our approach. The bold number indicates an obvious improvement (difference ¡Ý 0.01). ",,,,,,,,,
