algorithm ,features ,p_NFS ,p_UFS ,p_CFS ,p_wavg ,r_NFS ,r_UFS ,r_CFS ,r_wavg ,f_NFS ,f_UFS ,f_CFS ,f_wavg 
RFC ,W ,0.755,0.125,0.638,0.692,0.965,0.004,0.235,0.745,0.848,0.008,0.343,0.685
NBC ,W ,0.788,0,0.816,0.747,0.983,0,0.385,0.791,0.875,0,0.522,0.744
SVM ,W ,0.871,0.426,0.723,0.811,0.925,0.227,0.667,0.826,0.897,0.296,0.694,0.816
RFC ,W_P ,0.772,0.358,0.701,0.731,0.968,0.011,0.312,0.764,0.859,0.02,0.43,0.713
NBC ,W_P ,0.799,0,0.805,0.753,0.979,0,0.44,0.8,0.88,0,0.569,0.758
SVM ,W_P ,0.873,0.43,0.724,0.813,0.925,0.24,0.671,0.827,0.898,0.307,0.696,0.818
RFC ,W_P_ET ,0.77,0.238,0.665,0.715,0.964,0.008,0.298,0.758,0.856,0.016,0.411,0.706
NBC ,W_P_ET ,0.803,0,0.791,0.752,0.976,0,0.455,0.801,0.881,0,0.577,0.76
SVM ,W_P_ET ,0.873,0.427,0.723,0.813,0.925,0.24,0.67,0.827,0.898,0.307,0.695,0.817
"Table 2: Comparison of NBC, SVM and RFC coupled with various feature sets, in terms of Precision (p), Recall (r) and F-measure (f). wavg denotes weighted average of corresponding measure across three classes. ",,,,,,,,,,,,,
