,Prior,Prior,Prior,Posterior,Posterior,Posterior
Model,PRE,REC,F1,PRE,REC,F1
LE,0.98,0.4,0.57,0.97,0.52,0.67
AV raw,0.96,0.46,0.63,0.96,0.54,0.69
AV maj,0.95,0.42,0.58,0.95,0.52,0.68
AV prob,0.95,0.47,0.63,0.95,0.56,0.7
IAV raw,0.94,0.51,0.66,0.94,0.59,0.72
IAV maj,0.95,0.47,0.63,0.95,0.55,0.7
IAV prob,0.93,0.49,0.64,0.94,0.54,0.69
Empirical,-,-,-,0.88,0.61,0.72
Empirical-P,-,-,-,0.9,0.41,0.56
IAV-HR,0.88,0.77,0.82,0.89,0.8,0.84
"Figure 4: Prior and posterior precision, recall and F-score of 3 neural models (LE, AV and IAV), 2 baselines (Empiri- cal and Empirical-P) and the IAV model in high-recall mode. The neural models outperform the baselines; the IAV raw model achieves the highest F-score when operating at 95% precision. ",,,,,,
