Data Set Aspects,LDA (T-15|30) DS-LDA (T-15|30),LDA (T-15|30) DS-LDA (T-15|30),LDA (T-15|30) DS-LDA (T-15|30),LDA (T-15|30) DS-LDA (T-15|30),LDA (T-15|30) DS-LDA (T-15|30),SS-LDA (T-15|30),SS-LDA (T-15|30),SS-LDA (T-15|30),SS-LDA (T-15|30),LDA-PD (T-5|10),LDA-PD (T-5|10),LDA-PD (T-5|10),TTM (T-5|10),TTM (T-5|10),TTM (T-5|10)
Data Set Aspects,P@5,P@10,P@20,P@5,P@10,P@20,P@5,P@10,P@20,P@5,P@10,P@20,P@5,P@10,P@20
children,0.15,0.14,0.13,0.15,0.1,0.07,0.15,0.11,0.09,0.48,0.35,0.27,0.73,0.59,0.41
E-Cig vape,0.23,0.3,0.24,0.16,0.1,0.09,0.36,0.32,0.22,0.59,0.42,0.22,0.76,0.57,0.3
health,0.48,0.39,0.3,0.32,0.19,0.18,0.38,0.25,0.17,0.38,0.28,0.2,0.55,0.42,0.3
box,0.46,0.35,0.22,0.15,0.13,0.08,0.2,0.23,0.15,0.53,0.51,0.34,0.65,0.54,0.41
Cigar event,0.3,0.28,0.31,0.24,0.14,0.09,0.36,0.18,0.15,0.3,0.39,0.33,0.64,0.58,0.45
horse,0.27,0.2,0.26,0.15,0.1,0.06,0.55,0.43,0.24,0.73,0.46,0.34,0.88,0.61,0.37
screen,0.51,0.35,0.35,0.12,0.15,0.13,0.3,0.25,0.15,0.44,0.31,0.27,0.74,0.61,0.4
Camera lens,0.25,0.16,0.13,0.21,0.17,0.12,0.31,0.27,0.19,0.36,0.34,0.3,0.53,0.36,0.34
weight,0.2,0.2,0.15,0.04,0.02,0.04,0.16,0.1,0.08,0.56,0.44,0.25,0.72,0.6,0.44
sound,0.58,0.4,0.3,0.27,0.17,0.14,0.5,0.35,0.21,0.52,0.37,0.29,0.75,0.6,0.4
Cell-Phone case,0.56,0.59,0.53,0.14,0.18,0.15,0.23,0.16,0.14,0.61,0.44,0.38,0.66,0.56,0.4
battery,0.41,0.3,0.2,0.3,0.2,0.14,0.16,0.12,0.12,0.48,0.38,0.25,0.6,0.42,0.42
monitor,0.72,0.6,0.42,0.11,0.11,0.06,0.57,0.39,0.26,0.66,0.54,0.43,0.7,0.56,0.45
Computer software,0.48,0.39,0.35,0.24,0.21,0.14,0.36,0.3,0.33,0.36,0.34,0.3,0.6,0.39,0.35
warranty,0.31,0.23,0.19,0.03,0.03,0.04,0.23,0.13,0.08,0.47,0.38,0.31,0.63,0.53,0.43
average score,0.39,0.32,0.27,0.18,0.13,0.1,0.32,0.24,0.17,0.5,0.4,0.3,0.68,0.53,0.39
Table 3: Precisions of setting one. The last two rows are (a) the average scores of all targeted aspects of all topics and (b) the improvement achieved by TTM over other models respectively ,,,,,,,,,,,,,,,
