,2010 samples,2010 samples,2007 samples,2007 samples
,%of unique queries ,%of all queries ,%of unique queries ,%of all queries 
Arts & Humanities,<1%,<1%,<1%,<1%
Automotive,4%,2%,2%,1%
Consumer Goods,5%,3%,2%,2%
Entertainment,19%,13%,44%,51%
Finance,3%,2%,1%,1%
Government&Politics,<1%,<1%,1%,<1%
Health & Pharma,5%,3%,2%,1%
Hobbies,<1%,<1%,<1%,<1%
International Interest,<1%,<1%,<1%,<1%
Life Stages,3%,2%,2%,1%
Local,14%,15%,7%,7%
Miscellaneous,3%,2%,2%,2%
News,3%,2%,2%,2%
People,3%,2%,3%,5%
Reference,2%,1%,1%,<1%
Religion,1%,<1%,1%,1%
Retail,9%,6%,5%,4%
Science Small Business,5%,3%,3%,3%
Sports,3%,16%,6%,7%
Electronic Gadgets,<1%,<1%,2%,2%
Telecommunications,12%,23%,12%,9%
Table 1: US Mobile Query Categorization ,,,,
