,Methond,90%Training,80%Training,70%Training,60%Training
,User Mean,1.1927,1.1968,1.2014,1.2082
,Item Mean,1.1678,1.1973,1.2276,1.2505
,Trust,1.1697,1.1761,1.1797,1.1894
5D,NMF,1.1649,1.1861,1.209,1.2311
5D,SVD,1.1635,1.1845,1.2067,1.2298
5D,PMF,1.1583,1.1798,1.2008,1.2271
5D,SoRec,1.1333,1.153,1.169,1.1892
10D,NMF,1.1621,1.1832,1.2073,1.2294
10D,SVD,1.16,1.1812,1.2011,1.2268
10D,PMF,1.1544,1.176,1.1968,1.223
10D,SoRec,1.1293,1.1492,1.166,1.1852
Table IV. RMSE Comparison with Other Approaches on Epinions Dataset ,,,,,
