,RottenTomatoes,RottenTomatoes,RottenTomatoes,RottenTomatoes,Idebate,Idebate,Idebate,Idebate
,Rouge-1,Rouge-2,Rouge-L,METEOR,Rouge-1,Rouge-2,Rouge-L,METEOR
Lead-3(random),0.48,0.21,0.46,0.36,0.32,0.22,0.31,0.28
TextRank,21.44,6.2,14,6.5,20.33,5.92,13.25,6.03
LexRank,23.84,7.56,17.7,8.53,22.63,7.26,16.23,7.86
Sa-Lead-3,17.09,5.32,12.78,6.02,16.63,5.01,11.32,5.65
Sim-Lead-3,25.84,8.42,18.9,9.21,24.35,7.98,17.2,8.66
Sim-Sa-Lead-3,26.84,9.56,19.32,10.11,25.84,8.56,18.35,9.42
NN-ABS,25.82,7.03,23.07,8.01,24.32,6.89,22.67,7.87
doc-Distraction,14.53,4.49,13.83,5.11,13.24,3.98,12.89,4.54
Att-lead-n,26.57,6.84,23.13,7.56,25.63,7.51,21.39,8.21
Doc-h,15.91,2.04,14.32,2.56,14.21,2.14,12.82,2.45
Doc-h-att,17.12,3.98,15.46,4.08,14.12,2.85,13.64,3.69
Doc-hh-att,18.53,4.33,16.78,5.03,16.24,3.37,14.43,4.01
Our method,28.71,9.12,25.14,11.32,26.71,8.32,23.14,9.83
Table 1: Comparison results on RottenTomatoes and Idebate ,,,,,,,,
