Methods,ND@10,ND@50,MRR@10,MRR@50
Most Popular,0.0046,0.0099,0.0031,0.0042
SGM_1,0.007,0.0172,0.0045,0.0065
SGM_4,0.0133,0.0292,0.009,0.0122
SGM_16,0.0186,0.0355,0.0132,0.0166
SGM_64,0.0197,0.0364,0.0139,0.0172
SGM_256,0.0193,0.0353,0.0139,0.0169
PRFM,0.0178,0.0346,0.0124,0.0157
Î»FM,0.02,0.038,0.014,0.0176
A-SGNS,0.0197,0.0372,0.0137,0.0172
IRGAN,0.0213,0.0375,0.0152,0.0184
eVGM_,0.0223,0.0395,0.016,0.0194
eVGM,0.0237,0.0406,0.0166,0.02
Improv.,11.30%,6.80%,9.20%,8.70%
Table 3: Accuracy evaluation on Yahoo. ¡®ND¡¯ is short for NDCG. ,,,,
