Methods,,SPF,WMF,EXMF,SERec-Bo,EXBMF,SERec-Bo-B,SoEXBMF-CH,SoEXBMF-C,SoEXBMF-K,SoEXBMF
Ciao,Pre@5,0.0349,0.0398,0.0371,0.0402,0.0386,0.0395,0.0405,0.0408,0.0412,0.0442
Ciao,Impv,26.60%,11.00%,19.10%,10.00%,14.50%,11.80%,9.20%,8.40%,7.20%,-
Ciao,Pre@5,0.0339,0.0376,0.0395,0.0409,0.041,0.0411,0.0427,0.0441,0.0423,
Ciao,Impv,42.30%,28.50%,22.10%,18.20%,17.60%,17.40%,13.00%,9.50%,14.20%,-
Ciao,Pre@5,0.2004,0.2044,0.2139,0.2145,0.2149,0.2159,0.2152,0.2168,0.217,0.2239
Ciao,Impv,11.70%,9.50%,4.60%,4.40%,4.20%,3.70%,4.00%,3.30%,3.20%,-
Epinions,Pre@5,0.022,0.0236,0.0194,0.02,0.0209,0.021,0.0237,0.0251,0.0209,0.026
Epinions,Impv,18.30%,10.60%,34.40%,30.30%,24.90%,24.00%,10.10%,3.60%,24.80%,-
Epinions,Pre@5,0.0263,0.026,0.0259,0.0262,0.0248,0.0251,0.0274,0.0292,0.0263,
Epinions,Impv,23.00%,24.40%,24.80%,23.50%,30.20%,28.70%,18.10%,10.70%,22.70%,-
Epinions,Pre@5,0.1848,0.1819,0.1868,0.1884,0.184,0.1848,0.1854,0.1885,0.1851,0.1944
Epinions,Impv,5.20%,6.90%,4.10%,3.20%,5.70%,5.20%,4.90%,3.10%,5.00%,-
LastFM,Pre@5,0.1957,0.2152,0.218,0.2228,0.2435,0.2509,0.2333,0.242,0.252,0.2547
LastFM,Impv,30.20%,18.40%,16.80%,14.30%,4.60%,1.50%,9.20%,5.30%,1.10%,-
LastFM,Pre@5,0.1199,0.1358,0.1369,0.1409,0.1521,0.1575,0.1497,0.1554,0.1583,
LastFM,Impv,37.10%,21.10%,20.10%,16.70%,8.10%,4.40%,9.80%,5.80%,3.90%,-
LastFM,Pre@5,0.4397,0.4601,0.4695,0.4707,0.4905,0.4959,0.4889,0.4935,0.4944,0.5033
LastFM,Impv,14.50%,9.40%,7.20%,6.90%,2.60%,1.50%,2.90%,2.00%,1.80%,-
"Table 3: The performance metrics of the compared algorithms. The boldface font denotes the winner in that row, and the second number in a cell shows the relative performance gain of SoEXBMF compared to that method. ",,,,,,,,,,,
