,No change,No change,Change pnoise = 0.05,Change pnoise = 0.05,Change pnoise = 0.05,Change pnoise = 0.05,Change pnoise = 0.10,Change pnoise = 0.10,Change pnoise = 0.10
,bootstrap,cv,split,bootstrap,cv,split,bootstrap,cv,split
CovType,0.86,0.64,0.98,0.97,0.98,0.98,0.98,0.99,0.99
Electricity,0.45,0.16,0.79,0.99,0.92,0.88,1,1,0.94
Poker,0.73,0.45,0.86,0.82,0.78,0.98,0.96,0.99,1
LED(50000),0.92,0.85,0.96,0.96,0.92,1,0.99,0.96,1
SEA(50),0.67,0.35,0.88,0.69,0.39,0.89,0.7,0.43,0.89
SEA(50000),0.68,0.35,0.89,0.7,0.41,0.89,0.71,0.44,0.89
"HYP(10,0.001)",0.61,0.32,0.61,1,1,1,1,1,1
"HYP(10,0.0001)",0.61,0.4,0.83,1,1,1,1,1,1
"RBF(0,0)",0.89,0.8,0.36,0.98,0.98,0.39,0.99,0.99,0.4
"RBF(50,0.001)",0.26,0.2,0.36,0.18,0.43,0.39,0.2,0.44,0.39
"RBF(10,0.001)",0.88,0.74,0.36,0.97,0.96,0.39,0.98,0.98,0.4
"RBF(50,0.0001)",0.76,0.68,0.37,0.91,0.76,0.39,0.91,0.76,0.41
"RBF(10,0.0001)",0.89,0.8,0.36,0.96,0.92,0.37,0.98,0.94,0.4
Average,0.71,0.52,0.66,0.86,0.8,0.73,0.88,0.84,0.75
,No,change,,,,,,,
,bootstrap,cv,split,bootstrap,cv,split,bootstrap,cv,split
CovType,0.12,0.1,0.1,0.99,1,0.63,1,1,0.97
Electricity,0.12,0.13,0.14,1,1,0.72,1,1,0.98
Poker,0.08,0.1,0.1,0.79,1,1,1,1,1
LED(50000),0.11,0.09,0.1,0.82,0.49,1,1,0.99,1
SEA(50),0.11,0.12,0.14,0.26,0.27,0.11,0.36,0.45,0.12
SEA(50000),0.1,0.09,0.09,0.21,0.29,0.11,0.32,0.49,0.11
"HYP(10,0.001)",0.09,0.1,0.13,1,1,1,1,1,1
"HYP(10,0.0001)",0.13,0.09,0.11,1,1,1,1,1,1
"RBF(0,0)",0.11,0.1,0.32,1,1,0.29,1,1,0.33
"RBF(50,0.001)",0.14,0.1,0.3,0.32,1,0.33,0.13,1,0.29
"RBF(10,0.001)",0.12,0.1,0.32,1,1,0.28,1,1,0.28
"RBF(50,0.0001)",0.1,0.11,0.31,1,0.85,0.31,0.99,0.86,0.3
"RBF(10,0.0001)",0.1,0.09,0.31,1,1,0.32,1,1,0.29
Average,0.11,0.1,0.19,0.8,0.84,0.54,0.83,0.91,0.59
"Table 3: Fraction of null hypothesis rejection on each dataset when using McNemar¡¯s test. Values for the best performing validation method (closest to zero for Type I errors, closest to one for Type II errors) are shown in bold. ",,,,,,,,,
