,MSNBC,MSNBC,MSNBC,AQUAINT,AQUAINT,AQUAINT,ACE2004,ACE2004,ACE2004
Systems,Accuracy,F1@MI,F1@MA,Accuracy,F1@MI,F1@MA,Accuracy,F1@MI,F1@MA
PriorProb,85.98,86.5,87.15,84.87,87.27,87.16,84.82,85.49,87.13
Local,77.43,77.91,72.3,66.44,68.32,68.09,61.48,61.96,56.95
Cucerzan,87.8,88.34,87.76,76.62,78.67,78.22,78.99,79.3,78.22
M&W,68.45,78.43,80.37,79.92,85.13,84.84,75.54,81.29,84.25
Han_11,87.65,88.46,87.93,77.16,79.46,78.8,72.76,73.48,66.8
GLOW,65.55,75.37,77.33,75.65,83.14,82.97,75.49,81.91,83.18
RI,88.57,90.22,90.87,85.01,87.72,87.74,82.35,86.6,87.13
SemSig,91.62,92.18,92.1,85.83,88.14,88.02,87.16,87.5,88.43
"Table 1: Performance of various EL systems on the MSNBC, AQUAINT, and ACE2004 datasets. ",,,,,,,,,
