Dataset,Sketch size (MB),Sketch size (MB),Sketch size (MB),Sketch size (MB),Construction space (MB),Construction space (MB),Construction space (MB),Construction space (MB)
Dataset,ADS,ADS-c,SRS,SRS-i,ADS,ADS-c,SRS,SRS-d
wiki-Vote,1.96,1.98,0.29,0.06,8.93,8.93,20.65,7.08
email-Enron,19.46,19.63,1.53,0.56,59.11,59.4,182.85,40.57
web-NotreDame,59.9,60.89,8.75,4.48,201.12,201.12,579.6,234.02
com-dblp,222.15,223.73,22.3,14.66,529.67,532.26,1929.51,303.22
web-Google,451.38,455.01,78.42,58.45,1055.01,1052.66,3956.93,734.14
com-youtube,873.19,878.85,30.37,13.79,1869,1863.96,7512.91,1103.72
in-2004,597.66,603.18,138.63,92.68,1468.3,1489.94,5049.08,1272.42
flickr-links,1277.11,1285.42,59.56,16.84,2866.05,2893.68,11344.86,2045.52
soc-LiveJournal1,3552.9,3575.24,552.34,367.78,,,,
hollywood-2009,843.54,849.01,289.21,165.82,5189.92,5190.38,7997.62,5189.8
indochina-2004,4255.4,4286.35,1443.24,1048.27,9440.3,9556.09,35403.26,9629.31
com-orkut,2534.3,2549.65,813.91,431.16,7801.51,7803.18,23531.55,7802.66
,ADS,ADS-c,SRS,SRS-i,ADS,ADS-c,SRS,SRS-d
wiki-Vote,-,0.4,73.68,119.92,0.26,0.27,0.56,0.81
email-Enron,-,0.84,182.71,538.69,2.26,2.4,5.32,11.46
web-NotreDame,-,0.54,36.26,53.47,5.86,6.14,13.7,142.44
com-dblp,-,1.33,413.76,494.32,45.83,46.12,84.6,324.12
web-Google,-,1.16,271.13,260.74,82.57,81.32,173.13,952.8
com-youtube,-,2.33,391.58,4522.63,145.57,146.67,301,977.78
in-2004,-,0.91,160.9,189.82,64.67,66.12,171.73,3473.29
flickr-links,-,1.85,517.6,8163.6,341.4,319.07,599.38,1954.5
soc-LiveJournal1,-,1.54,1008.34,2273.5,1584.42,1627.21,2685.72,9142.96
hollywood-2009,-,2.7,1073.94,4270.85,845.68,802.59,1082.13,2709.84
indochina-2004,-,1.36,357.28,412.61,597.31,602.28,1685.47,34237.7
com-orkut,-,1.4,1629.66,11186.2,3798.51,3772.43,4557.96,5093.08
"Table 3: The columns on the left show the sizes of the sketches and the average ADS retrieval time, and the columns on the right show the time and memory consumption for construction (k = 16). ",,,,,,,,
