,QuesIndep-N1,QuesIndep-N1,QuesIndep-N1,Baseline-TC,Baseline-TC,Baseline-TC
Question Name,Correl,Bias,MAE,Correl,Bias,MAE
isSameReflection,0.54,0.63,0.73,0.46,0.95,1.1
waitingTimeSJF,0.8,0.12,0.52,0.65,0.46,0.88
countCacheMiss,0.82,0.01,0.53,0.52,0.39,1.01
isTree,0.83,0.23,0.54,0.72,0.2,0.74
patternPrint,0.88,0.14,0.42,0.8,0.32,0.64
grayCheck,0.84,0.25,0.6,0.72,0.01,0.77
transposeMultMatrix,0.87,0,0.37,0.79,0.68,0.81
eliminateVowelString,0.79,0.15,0.58,0.55,0.16,0.89
cellCompete,0.73,0.06,0.54,0.6,0.06,0.69
insertSortedList,0.76,0.33,0.7,0.46,0.55,1.21
isSubTree,0.75,0.21,0.76,0.6,0.24,1.03
minTreePath,0.79,0.13,0.61,0.76,0.19,0.68
isPath,0.86,0.39,0.57,0Q.u7e3sIndep,0.09,0.61
lruCountMiss,0.84,0.23,0.51,0.58,0.39,0.87
generalizedGCD,0.72,0.48,0.9,0.51,0.68,1.2
distinctElementCount,0.89,0.19,0.43,0.86,0.12,0.46
rotatePictureMethod,0.91,0.28,0.4,0.77,0.12,0.74
reverseLinkedList,0.87,0.23,0.54,0.8,0.62,0.77
balancedParentheses,0.63,0.49,0.83,0.45,0.37,1
Table 3: Results of LASSO on the test set - Question-wise results ,,,,,,
