Dataset,Baseline methods,Baseline methods,Baseline methods,Baseline methods,Baseline methods,Interdependence model,Interdependence model,Interdependence model,Interdependence model,Interdependence model,Interdependence model,Interdependence model,,
,BR,LP,MS,SM,CC,Gibbs,FPI,ES,ES+,,,,,
Scene,0.5985,-9,0.7322,-1,0.661,-4,0.6401,-6,0.6087,-8,0.7248,-2,0.7142,-3
Emotions,0.5175,-9,0.5582,-3,0.5216,-7,0.5206,-8,0.562,-2,0.5741,-1,0.5441,-4
Yeast,0.5019,-5,0.5286,-1,0.5062,-2,0.5,-6,0.3808,-9,0.4706,-8,0.4706,-7
Flags,0.573,-6,0.5541,-8,0.5827,-2,0.5842,-1,0.5751,-5,0.5565,-7,0.5509,-9
Birds,0.6024,-6,0.6045,-5,0.5927,-9,0.608,-4,0.609,-1,0.6089,-2,0.6083,-3
Enron,0.4374,-6,0.4276,-8,0.4431,-3,0.4429,-4,,,,,0.4592,-1
Medical,0.7443,-7,0.7756,-1,0.7684,-3,0.7675,-4,,,,,0.7698,-2
Avg. rank,,,3.857,-1,,,,,,,,,,
,0.6201,-9,0.7432,-1,0.6791,-4,0.652,-6,0.6226,-8,0.7363,-2,0.7254,-3
,0.5989,-9,0.64,-3,0.607,-7,0.5993,-8,0.6631,-1,0.6547,-2,0.617,-5
Scene,0.6104,-5,0.6208,-1,0.6117,-2,0.6109,-3,0.5305,-9,0.576,-8,0.576,-7
Emotions,0.6898,-6,0.6708,-8,0.6972,-1,0.6916,-4,0.6912,-5,0.6746,-7,0.6668,-9
Yeast,0.635,-6,0.6366,-5,0.6242,-9,0.6413,-4,0.6427,-2,0.644,-1,0.6424,-3
Flags,0.5457,-6,0.5258,-8,0.5507,-3,0.5504,-4,,,,,0.5597,-1
Birds,0.7729,-6,0.8013,-1,0.7923,-4,0.7909,-5,,,,,0.7932,-3
Enron,,,3.857,-1,,,,,,,,,,
Medical,0.0997,-8,0.0904,-1,0.0935,-5,0.0945,-6,0.0978,-7,0.0928,-3,0.092,-2
Avg. rank,0.2001,-2,0.2144,-6,0.2041,-5,0.2007,-3,0.2257,-8,0.2147,-7,0.2268,-9
,0.1996,-1,0.2085,-6,0.1996,-2,0.2025,-4,0.2218,-7,0.236,-8,0.236,-9
,0.2708,-4,0.2978,-9,0.2666,-2,0.2636,-1,0.2712,-6,0.2951,-7,0.2966,-8
Scene,0.0464,-3,0.0494,-9,0.0466,-4,0.0472,-5,0.0473,-6,0.0483,-8,0.0482,-7
Emotions,0.0454,-1,0.055,-8,0.0456,-3,0.0457,-5,,,,,0.0462,-6
Yeast,0.0099,-3,0.011,-7,0.0097,-1,0.0102,-5,,,,,0.0101,-4
Flags,0.4608,-9,0.3008,-1,0.3827,-4,0.3918,-5,0.4317,-8,0.3095,-2,0.3187,-3
Birds,0.7334,-8,0.6761,-3,0.72,-5,0.7201,-6,0.7369,-9,0.6627,-1,0.6728,-2
Enron,0.8461,-8,0.741,-1,0.8275,-4,0.8432,-7,0.9843,-9,0.8134,-2,0.8134,-3
Medical,0.8408,-9,0.8145,-4,0.835,-8,0.8042,-3,0.83,-6,0.7574,-1,0.7626,-2
Avg. Rank,0.4897,-6,0.4928,-7,0.4944,-9,0.4835,-1,0.4835,-2,0.4882,-5,0.4851,-4
Dataset,0.8654,-7,0.8178,-1,0.8596,-3,0.8631,-5,,,,,0.8314,-2
"Table 2: Performance of the baseline methods and the interdependence model with di erent prediction methods. A number in a bracket indicates the ranking of each method. Winners are bold-faced. ES and ES+ outperform the baseline methods in most cases when the performance is evaluated by 0/1 loss. Our methods achieves higher accuracies and F1 scores than the baseline methods in Birds, Enron, and Medical. ",,,,,,,,,,,,,,
