Algorithm ,Precision ,Recall ,F1 ,Accuracy ,,,,,
Textual ,0.806,0.544,0.655,0.696,,,,,
Visual ,0.747,0.745,0.746,0.732,,,,,
Early Fusion ,0.778,0.769,0.774,0.763,,,,,
Late Fusion ,0.785,0.775,0.78,0.769,,,,,
CCR ,0.846,0.759,0.8,0.8,,,,,
Table 3: Performance on the testing data set by different approaches. ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
