Method,nDCG@5,nDCG@10,MAP@5,MAP@10,MRR@5,MRR@10
N-gram IDF,0.73,0.742,0.9,0.893,0.582,0.593
Mishra et al.,0.706,0.737,0.895,0.892,0.529,0.542
Mishra et al. with Wikipedia,0.725,0.75,0.907,0.902,0.561,0.571
PMI-Q,0.716,0.736,0.898,0.892,0.567,0.577
PMI-W,0.67,0.707,0.86,0.863,0.493,0.506
Unsegmented,0.655,0.689,0.852,0.854,0.465,0.481
Human A,0.728,0.746,0.904,0.899,0.575,0.585
Human B,0.727,0.747,0.903,0.898,0.567,0.577
Human C,0.717,0.744,0.899,0.896,0.543,0.555
BQV,0.765,0.768,0.927,0.914,0.673,0.68
Table 4: Performance of query segmentation on Roy et al. [40] dataset. ,,,,,,
