,linearSVM,linearSVM,linearSVM,polynomialSVM,polynomialSVM,polynomialSVM,NB,NB,NB
,ER (%),TPR,FPR,ER (%),TPR,FPR,ER (%),TPR,FPR
ptpn,52.2,0.53,0.57,53,0.6,0.66,49.4,0.77,0.75
PTPptpbe,41.8,0.83,0.66,49,0.83,0.81,49.4,0.8,0.78
ptpe,41.2,0.71,0.54,38.2,0.8,0.57,40.3,0.84,0.65
ptpm,38.6,0.65,0.42,41.2,0.6,0.43,36.7,0.66,0.39
scoas,39,0.68,0.46,39,0.74,0.52,38.7,0.78,0.55
SCOscobs,49.4,0.54,0.52,49.6,0.58,0.57,48.4,0.7,0.66
SIM all variants,ER,(%):,48.9-49.8,ER,(%):,48.7-50.3,,,
PTP+SCO,33.3,0.71,0.5,37.4,0.78,0.53,35.4,0.85,0.56
SD SDlsi,41.5,0.68,0.51,39.3,0.74,0.52,32.7,0.89,0.55
RL all variants,ER,(%):,49.0-50.1,ER,(%):,50.1-50.2,,,
PTP+SD,22.9,0.82,0.28,23,0.82,0.28,27.9,0.89,0.45
SCO+SD,34.9,0.7,0.4,32,0.72,0.36,26.5,0.84,0.38
PTP+SCO+SD,21.6,0.82,0.25,22,0.8,0.25,24.5,0.86,0.35
Table 2: Performance of Coherence Measures. ,,,,,,,,,
