Month,January,January,January,February,February,February,March,March,March,April,April,April,May,May,May
Algorithm,MAE,RMSE,RMSPE,MAE,RMSE,RMSPE,MAE,RMSE,RMSPE,MAE,RMSE,RMSPE,MAE,RMSE,RMSPE
SVR,1537,1960,0.396,1427,1861,0.382,2829,3570,0.46,2485,3045,0.375,2977,3608,0.4037
ARIMA,1536,2073,0.378,1516,2055,0.287,2283,3007,0.367,1848,2481,0.32,2050,2865,0.338
ANN,1096,1496,0.401,1091,1711,0.24,1408,2030,0.338,1212,1685,0.272,1258,1928,0.259
GRU,1029,1571,0.398,1002,1597,0.243,1382,2041,0.336,1194,1604,0.275,1272,1919,0.262
abi-GRU,1098,1554,0.403,1030,1658,0.234,1371,2002,0.34,1167,1626,0.277,1232,1839,0.265
st-GRU,1071,1568,0.405,989,1582,0.239,1356,1969,0.33,1184,1632,0.273,1233,1905,0.261
RESTFul,797,1170,0.249,767,1198,0.164,1180,1629,0.199,882,1315,0.19,888,1312,0.153
"Table 3: Performance comparisons of di erent methods in sales volume prediction in terms of MAE, RMSE and RMPSE. REST- Ful achieves the best performance in all cases. ",,,,,,,,,,,,,,,
