,Precision (%),Precision (%),Precision (%),Precision (%),Precision (%),Promoted Instances (#),Promoted Instances (#),Promoted Instances (#),Promoted Instances (#),Promoted Instances (#)
Predicate,CPL,UPL,CSEAL,SEAL,MBL,CPL,UPL,CSEAL,SEAL,MBL
AcademicField,70,83,90,97,100,46,903,203,1000,181
Actor,100,33,100,97,100,199,1000,1000,1000,380
Animal,80,50,90,70,97,741,1000,144,974,307
Athlete,87,17,100,87,100,132,930,276,1000,555
AwardTrophyTournament,57,7,53,7,77,86,902,146,1000,79
BoardGame,80,13,70,77,90,10,907,126,1000,31
BodyPart,77,17,97,63,93,176,922,80,1000,61
Building,33,50,30,0,93,597,1000,57,1000,14
Celebrity,100,90,100,100,97,347,1000,72,747,514
CEO,33,30,100,77,100,3,902,322,1000,30
City,97,100,97,87,97,1000,1000,368,1000,603
Clothing,97,20,43,27,97,83,973,167,1000,102
Coach,93,63,100,83,100,188,838,619,1000,242
Company,97,83,100,100,97,1000,1000,245,1000,784
Conference,93,53,97,90,100,95,990,437,928,92
Country,57,33,97,37,93,1000,1000,130,1000,207
EconomicSector,60,23,100,10,77,1000,1000,34,1000,138
Emotion,77,53,87,60,83,483,992,183,1000,211
Food,90,70,97,80,100,811,1000,89,1000,272
Furniture,100,0,57,57,90,55,963,215,1000,95
Hobby,77,33,77,50,90,357,936,77,1000,127
KitchenItem,73,3,88,13,100,11,900,8,960,2
Mammal,83,50,93,50,90,224,1000,154,1000,169
Movie,97,57,97,100,100,718,1000,566,1000,183
NewspaperCompany,90,60,60,97,100,179,1000,1000,1000,241
Politician,80,60,97,37,100,178,990,30,1000,101
Product,90,83,-,77,70,1000,1000,0,999,127
ProductType,73,63,27,63,50,712,1000,31,1000,159
Profession,73,53,-,57,93,916,973,0,1000,171
ProfessionalOrganization,93,63,100,77,87,104,943,58,1000,163
Reptile,95,3,90,27,100,19,912,149,1000,54
Room,64,0,33,7,100,25,913,12,643,3
Scientist,97,30,100,17,100,83,971,928,1000,130
Shape,77,7,7,7,85,43,985,28,733,26
Sport,77,13,63,83,73,283,1000,225,1000,284
SportsEquipment,20,10,57,23,23,58,902,52,1000,174
SportsLeague,100,7,80,27,86,11,901,10,1000,14
SportsTeam,90,30,87,87,87,301,903,864,944,506
Stadium,93,57,53,63,90,102,767,944,1000,343
StateOrProvince,77,63,83,93,77,202,1000,114,1000,161
Tool,40,13,93,90,97,561,1000,713,1000,59
Trait,53,40,52,47,97,234,1000,21,1000,44
University,93,97,100,90,93,1000,1000,961,1000,516
Vehicle,67,30,50,13,77,460,1000,50,1000,98
Average,78,41,78,59,90,360,960,271,976,199
"Table 2: Precision (%) and counts of promoted instances for each category using CPL, UPL, CSEAL, SEAL, and MBL. ",,,,,,,,,,
