Datasets,# Distinct,# Distinct,# Distinct,Agg. item,Agg. item,Max. item,Max. item,Flat stream,Compressed
,items,frequency,frequency,size (GB,stream size (GB,,,,
Twitter,78,508,963,17,149,3.69,0.15,,
IPv4-1#2,94,820,182,123,614,7.23,1.72,,
IPv4-1#4,94,820,182,123,614,9.5,2.26,,
IPv4-1#8,94,820,182,123,614,13.42,4.19,,
IPv4-2#2,94,890,903,106,956,17.98,1.81,,
IPv4-2#4,94,890,903,106,956,22.79,3.29,,
IPv4-2#8,94,890,903,106,956,30.35,5.05,,
IPv4-1#2 2,6,204,_106,,,7.23,1.72,,
IPv4-1#4 4,6,204,_106,,,9.5,2.26,,
IPv4-1#8 8,6,204,_106,,,13.42,4.19,,
IPv4-2#2 2,6,562,_106,,,17.98,1.81,,
IPv4-2#4 4,,,,,,22.79,3.29,,
IPv4-2#8 8,6,562,_106,,,30.35,5.05,,
Table 2: Data stream characteristics and sizes ,,,,,,,,,
