,Hospital 1,Hospital 1,Hospital 1,Hospital 1,Hospital 2,Hospital 2,Hospital 2,Hospital 2
Method,Precision,Recall,AUC,McNemar-,Precision,Recall,AUC,McNemar-
Target + Source (Unweighted),0.2404,0.6471,0.779,-,0.2375,0.5,0.7591,-
KLIEP-weighted,0.1803,0.4853,0.7533,0.05*,0.2125,0.4474,0.7296,0.26
Weighted Instances,0.2295,0.6176,0.7792,0.49,0.2469,0.5197,0.7614,0.33
"Weighted Clusters, K = 1",0.235,0.6324,0.7741,0.84,0.2344,0.4934,0.7631,0.73
"Weighted Clusters, K = 2",0.2131,0.5735,0.7725,0.09,0.25,0.5263,0.7659,0.26
"Weighted Clusters, K = 3",0.2131,0.5735,0.777,0.06,0.25,0.5263,0.7603,0.31
Target + Source (Unweighted),0.5789,0.5366,0.7324,-,0.4167,0.5,0.7666,-
KLIEP-weighted,0.4474,0.4146,0.679,0.05*,0.3333,0.4,0.6938,0.17
Weighted Instances,0.5789,0.5366,0.7386,1,0.3958,0.475,0.7612,0.69
"Weighted Clusters, K = 1",0.5789,0.5366,0.7368,1,0.3958,0.475,0.7722,0.77
"Weighted Clusters, K = 2",0.6053,0.561,0.744,0.63,0.3958,0.475,0.7686,0.75
"Weighted Clusters, K = 3",0.5526,0.5122,0.7394,0.5,0.4375,0.525,0.773,0.73
Target + Source (Unweighted),0.0952,0.6667,0.8656,-,0.1486,0.5306,0.7787,-
KLIEP-weighted,0.0476,0.3333,0.6444,0.41,0.1314,0.4694,0.7329,0.51
Weighted Instances,0.1111,0.7778,0.8372,0.8,0.1429,0.5102,0.7836,0.75
"Weighted Clusters, K = 1",0.0952,0.6667,0.8627,1,0.1429,0.5102,0.7762,0.77
"Weighted Clusters, K = 2",0.1111,0.7778,0.8893,0.83,0.1486,0.5306,0.781,1
"Weighted Clusters, K = 3",0.0952,0.6667,0.8707,1,0.1543,0.551,0.776,0.78
"Table 5: Prolonged Length of Stay (LOS > 14 days): Comparing performance of weighted methods versus Target + Source (Unweighted). Estimated precision, recall, and AUC are shown for Isolated AVR, Isolated MVR, and Isolated MV Repair procedures at each hospital. The best precision, recall, and AUC are in bold. ",,,,,,,,
