,WebQ,WebQ,WebQ,BingQ,BingQ,BingQ
Features,Precision,Recall,F1,Precision,Recall,F1
Shallow Features,0.4214,0.3373,0.3561,0.4035,0.4035,0.4035
Deep Features,0.5352,0.421,0.4462,0.4757,0.4747,0.475
Shallow + Deep Features,0.5712,0.454,0.4804,0.5817,0.5817,0.5817
Shallow + DeepType,0.5433,0.4323,0.4566,0.5493,0.5493,0.5493
Shallow + DeepPredicate,0.5492,0.4315,0.4572,0.5493,0.5493,0.5493
Shallow + DeepSentence,0.4728,0.3768,0.3954,0.4227,0.4227,0.4227
Shallow + DeepEntityPairs,0.4662,0.3703,0.3907,0.5538,0.5528,0.5531
All Features _ DeepType,0.5551,0.4362,0.4623,0.5538,0.5538,0.5538
All Features _ DeepPredicate,0.5609,0.4474,0.4732,0.5714,0.5714,0.5714
All Features _ DeepSentence,0.5639,0.4467,0.4729,0.5803,0.5803,0.5803
All Features _ DeepEntityPairs,0.5698,0.4523,0.4786,0.5596,0.5596,0.5596
Table 4: Performance of different feature combinations. ,,,,,,
