Domain,WSLOG,WSLOG,WSLOG,Ours,Ours,Ours
Metrics,P,R,F1,P,R,F1
City,0.81,0.69,0.75,0.91,0.77,0.83
Country,0.1,0.31,0.15,0.3,0.94,0.46
Drug,0.49,0.52,0.5,0.75,0.81,0.78
Food,0.98,0.57,0.72,0.88,0.52,0.65
Location,0.84,0.66,0.74,0.99,0.78,0.87
Movie,0.64,0.54,0.59,0.92,0.77,0.84
Newspaper,0.11,0.46,0.18,0.17,0.72,0.27
Person,0.77,0.35,0.48,0.98,0.45,0.61
University,0.53,0.45,0.49,0.99,0.85,0.91
VideoGame,0.82,0.73,0.77,0.91,0.81,0.85
Average,0.61,0.53,0.54,0.78,0.74,0.71
Table 4: Comparison with WSLOG on set expansion of domain entities. ,,,,,,
