Evaluation Metric,Bsvm,Bsvm,Ml-knn,Ml-knn,Bp-mll,Ecc,Ecc,Ecc
Evaluation Metric,|S| < 5000,|S| > 500,|S| < 5000,|S| > 500,|S| < 500,|S| > 500,|S| < 5000,|S| > 500
hamming loss,1/6/0,2001/5/1,2003/2/2,6/1/0,7/0/0,7/0/0,2003/3/1,7/0/0
one-error,1/6/0,2001/5/1,2001/5/1,7/0/0,2004/2/1,7/0/0,2000/2/5,2001/4/2
coverage,3/4/0,6/1/0,2002/4/1,7/0/0,2003/3/1,6/0/1,6/1/0,7/0/0
ranking loss,3/4/0,6/1/0,2002/4/1,7/0/0,4/3/0,6/0/1,6/1/0,7/0/0
average precision,3/4/0,6/1/0,2003/3/1,7/0/0,6/0/1,6/0/1,4/3/0,7/0/0
In Total,11/24/0,20/13/2,11/18/6,34/1/0,2024/8/3,32/0/3,2019/10/6,2029/4/2
hamming loss,0/7/0,2002/4/1,2002/4/1,7/0/0,5/2/0,6/0/1,2000/2/5,2001/4/2
one-error,2/5/0,7/0/0,2002/4/1,7/0/0,4/3/0,5/2/0,6/1/0,7/0/0
coverage,2/5/0,7/0/0,2002/4/1,7/0/0,5/2/0,2005/1/1,6/1/0,7/0/0
ranking loss,2/5/0,7/0/0,2003/3/1,7/0/0,7/0/0,5/0/2,4/3/0,7/0/0
average precision,6/29/0,2025/8/2,12/17/6,34/1/0,28/7/0,2028/3/4,2019/10/6,2029/4/2
Table 7: The win/tie/loss results (grouped by |S|) for LEAD against the compared algorithms in terms of different evaluation metrics. ,,,,,,,,
