Domain,Measurements,Siri,S-Voice,LLM,Word2Vec,SVM-linear,SVM-tree,InfoDist
Weather,Accuracy,0.47,0.23,0.85,0.82,0.88,0.92,0.95
Weather,Precision,0.344,0.176,0.75,0.727,0.862,0.838,0.912
Weather,Recall,0.667,0.364,0.818,0.727,0.758,0.939,0.939
Weather,F1-score,0.454,0.238,0.783,0.727,0.806,0.886,0.925
Maps,Accuracy,0.77,0.87,0.86,0.92,0.9,0.95,0.95
Maps,Precision,0.528,0.875,0.762,0.87,0.8,1,0.885
Maps,Recall,0.76,0.56,0.64,0.8,0.8,0.8,0.92
Maps,F1-score,0.623,0.683,0.696,0.833,0.8,0.889,0.902
Restaurants,Accuracy,0.67,-,0.83,0.88,0.85,0.91,0.94
Restaurants,Precision,0.438,-,0.679,0.759,0.75,0.846,0.862
Restaurants,Recall,0.778,-,0.704,0.815,0.667,0.815,0.926
Restaurants,F1-score,0.56,-,0.691,0.786,0.706,0.83,0.893
"Table 4: Comparison of Siri, S-Voice, LLM, Word2Vec, SVM and InfoDist on the three domains ",,,,,,,,
