Method,AR,BO,CL,CO,CR,EC,GT,HN,MX,NI,PA,PE,PY,SV,US
ARX,2.94,2.51,3.1,2.9,2.21,2.81,2.83,2.96,2.25,2.18,2.78,2.51,2.84,2.83,3.51
MFN,2.99,3.01,2.88,2.53,2.78,2.81,2.77,2.83,2.61,2.7,2.56,2.82,2.66,2.79,3.81
DARX,3.09,2.84,3.17,2.84,2.57,2.94,2.83,2.89,2.91,2.77,2.72,2.67,2.79,2.72,3.71
DPARX,2.98,2.84,3.07,3.01,2.7,2.97,2.87,2.93,2.84,2.86,2.82,2.78,2.86,2.77,3.72
ARX,2.56,2.05,2.63,2.71,1.61,2.56,2.63,2.76,1.15,1.36,2.56,2.05,2.62,2.64,3.21
MFN,2.86,2.89,2.81,2.49,2.71,2.67,2.72,2.41,2.55,2.31,2.5,2.59,2.71,2.3,3.75
DARX,2.98,2.69,3,2.69,2.63,2.79,2.72,2.81,2.66,2.28,2.55,2.49,2.68,2.66,3.6
DPARX,2.67,2.73,2.86,2.83,2.66,2.79,2.78,2.78,2.62,2.49,2.71,2.63,2.64,2.68,3.61
ARX,2.25,1.65,2.21,2.5,1.06,2.3,2.39,2.59,0.6,0.94,2.42,1.72,2.39,2.46,2.92
MFN,2.49,2.38,2.41,2.33,2.45,2.31,2.32,2.1,2.21,2.11,2.19,2.22,2.4,2.08,3.64
DARX,2.68,2.32,2.68,2.57,2.52,2.72,2.5,2.65,2.47,2,2.52,2.32,2.54,2.53,3.41
DPARX,2.33,2.44,2.63,2.7,2.58,2.66,2.59,2.61,2.36,2.31,2.75,2.44,2.51,2.55,3.42
ARX,1.98,1.37,1.73,2.31,0.72,2.07,2.22,2.41,0.39,0.83,2.21,1.46,2.21,2.3,2.56
MFN,2.1,2.13,2.15,2.04,2.25,2.11,2.22,1.94,1.99,1.87,2.01,1.86,2.1,1.77,3.54
DARX,2.42,2.12,2.39,2.49,2.34,2.52,2.42,2.51,2.17,1.74,2.38,2.27,2.3,2.42,3.18
DPARX,2.1,2.23,2.32,2.64,2.38,2.52,2.55,2.45,2.06,2.15,2.72,2.38,2.27,2.53,3.2
Table 3: Prediction accuracies for competing algorithms with different forecast steps over different countries using the weather data source. ,,,,,,,,,,,,,,,
