Dataset,Metric,single-viewDataset Metric,mvn2vec-reg(worst view) (best view),independent,one-space,view-merging,mvn2vec-con,
Snapchat,ROC-AUC,0.638 (0.001)Snapchat ROC-AUC,0.587 (0.001) 0.592 (0.001),0.617 (0.001),0.603 (0.001),0.611 (0.001),0.626 (0.001),
Snapchat,PRC-AUC,0.252(0.001),0.675 (0.001) 0.677 (0.002),0.700 (0.001),0.688 (0.002),0.693 (0.002),0.709 (0.001),
YouTube,ROC-AUC ,0.831 (0.002) ,0.904 (0.002) ,0.931 (0.001) ,0.914 (0.001) ,0.912 (0.001) ,0.932 (0.001) ,
YouTube,PRC-AUC ,0.515 (0.004) ,0.678 (0.004) ,0.745 (0.003) ,0.702 (0.004) ,0.699 (0.004) ,0.746 (0.003) ,
Twitter,ROC-AUC ,0.597 (0.001) ,0.715 (0.001) ,0.724 (0.001) ,0.737 (0.001) ,0.741 (0.001) ,0.727 (0.000) ,
Twitter,PRC-AUC ,0.296 (0.001) ,0.428 (0.001) ,0.447 (0.001) ,0.466 (0.001) ,0.469 (0.001) ,0.453 (0.001 ,
Table 4: Mean of link prediction results with standard error in brackets. ,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
