,SSA,IPUMS,Sexmachine,Genderize,Face++,Mixed1,Mixed2
United States,0.82,0.76,0.84,0.83,0.91,0.91,0.9
China,0.2,0.11,0.67,0.28,0.65,0.5,0.56
United Kingdom,0.94,0.92,0.92,0.94,0.81,0.98,0.94
Germany,0.87,0.88,0.96,0.94,0.87,0.96,0.93
Italy,0.93,0.92,0.94,0.98,0.79,0.99,1
Canada,0.87,0.77,0.86,0.91,0.9,0.96,0.93
France,0.93,0.92,0.8,0.96,0.81,0.97,1
Japan,0.79,0.7,1,0.9,0.62,0.91,0.94
United States,0.82,0.76,0.84,0.83,0.91,0.91,0.9
China,0.2,0.11,0.67,0.28,0.65,0.5,0.56
United Kingdom,0.94,0.92,0.92,0.94,0.81,0.98,0.94
Germany,0.87,0.88,0.96,0.94,0.87,0.96,0.93
Italy,0.93,0.92,0.94,0.98,0.79,0.99,1
Canada,0.87,0.77,0.86,0.91,0.9,0.96,0.93
France,0.93,0.92,0.8,0.96,0.81,0.97,1
Japan,0.79,0.7,1,0.9,0.62,0.91,0.94
Brazil,0.29,0.29,0.15,0.44,0.81,0.9,0.93
Spain,0.96,0.92,0.92,1,0.92,1,1
Australia,0.89,0.89,0.9,0.86,0.86,0.94,0.93
India,0.67,0.17,0.71,0.78,0.83,0.83,0.93
South Korea,0.04,0,0.58,0.11,0.74,0.37,0.66
Switzerland Turkey,0.78 0.43,0.70 0.14,0.56 0.79,0.83 0.81,0.88 0.86,0.90 1,0.921
Table 2: Accuracy of various gender detection methods for people from different countries. For most countries mixed approaches per- form best. ,,,,,,,
