Percent,1%,1%,5%,5%,10%,10%,15%,15%,20%,20%
Name,Micro-F1,Macro-F1,Micro-F1,Macro-F1,Micro-F1,Macro-F1,Micro-F1,Macro-F1,Micro-F1,Macro-F1
BOW,63.21 0.60,46.85 2.47,73.94 0.21,61.71 0.76,76.67 0.11,64.33 0.11,78.15 0.04,66.55 0.39,79.01 0.09,67.70 0.31
SG,71.27 0.26,54.07 1.62,74.63 0.11,61.75 0.67,75.09 0.11,62.90 0.24,75.23 0.12,63.19 0.28,76.25 0.13,63.35 0.40
CBOW,71.16 0.28,54.20 1.19,73.38 0.18,61.13 0.71,74.12 0.14,62.69 0.25,74.64 0.19,62.92 0.22,75.95 0.20,63.20 0.32
LINE,71.46 0.21,54.28 1.87,75.04 0.07,62.76 0.70,76.48 0.05,64.15 0.50,76.65 0.09,64.55 0.24,77.74 0.06,64.91 0.28
Doc2Vec,64.37 0.40,47.74 1.05,73.64 0.14,61.10 0.98,74.20 0.14,62.30 0.58,66.44 0.08,64.13 0.36,75.50 0.13,62.42 0.41
DGTF w,71.95 0.03,54.80 1.36,75.74 0.18,63.13 0.58,78.79 0.15,65.73 0.27,80.34 0.09,68.99 0.28,81.58 0.06,69.43 0.42
DGTF d,72.52 0.10,55.63 1.25,76.79 0.14,63.88 0.52,79.01 0.13,66.21 0.31,80.18 0.08,68.94 0.25,81.96 0.08,70.24 0.39
Name,Micro-F1,Macro-F1,Micro-F1,Macro-F1,Micro-F1,Macro-F1,Micro-F1,Macro-F1,Micro-F1,Macro-F1
BOW,78.11 1.19,73.75 1.02,81.07 0.16,77.84 0.19,82.38 0.19,79.46 0.24,82.70 0.10,80.40 0.12,83.63 0.08,80.95 0.11
SG,82.26 0.24,78.92 0.45,85.11 0.10,81.44 0.13,85.29 0.07,81.68 0.13,85.33 0.07,81.74 0.14,85.70 0.04,81.83 0.08
CBOW,81.98 0.33,78.89 0.68,83.93 0.13,80.10 0.17,84.16 0.10,81.08 0.10,84.82 0.08,80.76 0.08,84.94 0.10,81.50 0.10
LINE,82.81 0.21,79.12 0.49,84.97 0.10,81.46 0.14,85.19 0.08,81.78 0.10,85.25 0.04,81.86 0.07,85.28 0.05,81.90 0.07
Doc2Vec,79.17 0.34,74.61 1.14,82.50 0.08,78.85 0.25,83.71 0.09,80.10 0.17,83.84 0.07,80.49 0.11,83.97 0.06,80.79 0.11
DGTF w,83.31 0.33,79.85 0.37,85.59 0.09,82.16 0.16,85.99 0.08,82.65 0.08,86.13 0.07,82.77 0.10,86.36 0.04,83.11 0.08
DGTF d,83.64 0.40,80.22 0.39,86.22 0.10,82.48 0.18,86.47 0.09,83.17 0.10,86.68 0.08,82.91 0.09,86.82 0.06,83.41 0.09
Name,Micro-F1,Macro-F1,Micro-F1,Macro-F1,Micro-F1,Macro-F1,Micro-F1,Macro-F1,Micro-F1,Macro-F1
BOW,48.47 0.27,44.44 0.49,55.47 0.35,51.77 0.39,58.37 0.19,54.92 0.22,60.17 0.15,56.67 0.15,61.91 0.14,58.55 0.20
SG,58.07 0.50,54.13 0.38,63.41 0.16,59.66 0.35,64.07 0.10,60.36 0.13,64.22 0.07,60.50 0.05,64.41 0.09,60.70 0.06
CBOW,57.25 0.77,53.61 0.81,62.77 0.10,59.11 0.30,63.33 0.13,59.63 0.20,63.59 0.14,59.90 0.18,63.71 0.10,60.01 0.11
LINE,60.84 0.80,56.60 0.45,64.92 0.11,60.95 0.11,65.73 0.09,61.77 0.12,66.02 0.10,62.15 0.11,66.15 0.10,63.25 0.11
Doc2Vec,54.86 0.22,50.88 0.62,59.68 0.14,55.41 0.33,60.45 0.14,56.08 0.24,61.76 0.11,57.43 0.22,61.88 0.10,57.55 0.19
DGTF w,61.45 0.25,57.04 0.49,64.90 0.15,60.92 0.26,66.36 0.09,62.72 0.07,66.82 0.08,62.89 0.11,67.48 0.06,63.99 0.05
DGTF d,61.94 0.32,57.58 0.56,65.62 0.21,61.71 0.28,66.68 0.15,63.09 0.09,67.31 0.12,63.18 0.19,67.78 0.09,64.47 0.10
